param_name,sp0_biomass_rel,sp1_biomass_rel,sp2_biomass_rel,sp3_biomass_rel,sp4_biomass_rel,sp5_biomass_rel,sp6_biomass_rel,sp7_biomass_rel,sp8_biomass_rel,sp9_biomass_rel,sp10_biomass_rel,sp11_biomass_rel,sp12_biomass_rel,sp13_biomass_rel,sp14_biomass_rel,sp15_biomass_rel,sp0_mean_length,sp1_mean_length,sp2_mean_length,sp3_mean_length,sp4_mean_length,sp5_mean_length,sp6_mean_length,sp7_mean_length,sp8_mean_length,sp9_mean_length,sp10_mean_length,sp11_mean_length,sp12_mean_length,sp13_mean_length,sp14_mean_length,sp15_mean_length,sp0_LFI,sp1_LFI,sp2_LFI,sp3_LFI,sp5_LFI,sp7_LFI,sp8_LFI,sp9_LFI,sp10_LFI,sp11_LFI,sp12_LFI,sp13_LFI,sp15_LFI,sp0_yield_rel,sp1_yield_rel,sp2_yield_rel,sp3_yield_rel,sp5_yield_rel,sp7_yield_rel,sp8_yield_rel,sp9_yield_rel,sp10_yield_rel,sp11_yield_rel,sp12_yield_rel,sp13_yield_rel,sp14_yield_rel,sp15_yield_rel,sp0_mean_TL,sp1_mean_TL,sp2_mean_TL,sp3_mean_TL,sp4_mean_TL,sp5_mean_TL,sp6_mean_TL,sp7_mean_TL,sp8_mean_TL,sp9_mean_TL,sp10_mean_TL,sp11_mean_TL,sp12_mean_TL,sp13_mean_TL,sp14_mean_TL,sp15_mean_TL
fisheries.rate.base.fsh0,0.6448699122230734,0.021663765059168952,-0.16154971886108882,0.3005052934182763,0.30904365419322244,2.2783875667203763,0.3287504178848466,0.003200917802123708,0.40134950974903155,-0.10099492133230983,0.18247854989913306,-0.1676684793832693,0.10309607397214743,-0.1219240724222754,0.007622344855790804,0.462537328805634,-0.0058934029620795235,-0.14351055139213095,-0.05224435250794178,0.04134483591443787,-0.019602961095563858,-0.08779247715488311,-0.029755901689348552,0.08113653274459778,0.7467536376645775,0.24718288237516522,-0.15628715945981345,-0.12769592526031515,-0.1464732604012788,-0.08409030092775109,0.3195012767863311,-0.11773392848467884,0.3751705898475782,0.11431446146894748,-0.13510657280670915,0.7902092717757458,-0.005949790313992173,-0.1395573719003043,-0.06927136145794864,0.07712694827220008,0.011565481381824705,-0.06118214949044866,-0.09279493110382818,-0.03288110824109672,-0.10210061203728568,0.39106115060933816,2.1964522360443115,1.5307870621554314,0.84394704549153,3.0758926209220863,1.5063914470779407,2.8432485301631747,0.0631159448271126,-0.06548122693692066,-0.18908994582365576,-0.17632184465466277,1.3608260312231997,3.3747635194176424,0.6037378957209512,0.042672281725622645,0.3524069922905871,-0.1323666653231431,-0.14092486820952893,-0.1596262078233338,-0.1831946439249643,-0.18172235334275133,-0.14371994773010427,-0.22036928160137942,-0.16145495726692016,-0.14376393206271976,-0.21906376851353074,0.022610925905715597,-0.10688044805372648,-0.11042885705041285,-0.05928892122185737
fisheries.rate.base.fsh1,-0.2239726044026173,-0.20045278081070136,-0.13461851041847042,-0.10021035120114012,-0.25874927675222037,-0.1791454525333169,-0.27011985503534897,-0.1977027693138918,-0.20011082773863714,-0.22618187371766652,0.48249191775263334,0.269111802808228,0.277441413689124,-0.14571591083779656,-0.24561376675560426,-0.19020641835571808,-0.16968834854009246,-0.25451244397163447,-0.09228658305753608,-0.052568042366552076,-0.3377586584672322,-0.10421093240640646,-0.354277028830059,-0.23923866591235346,-0.26429131941068185,-0.19453005692652856,-0.1387027673988077,0.0032700853581658544,-0.17812275527136814,-0.11512774023491305,-0.31249490344781933,-0.146240795270998,-0.21573249879572748,-0.14622990584225423,-0.10344591784674483,-0.12112304112249303,-0.1163300954052498,-0.15822702244970474,-0.2349562932424789,-0.24677118044305651,-0.006325930778520519,0.17763054171867437,-0.18598577722751408,0.26956129041861787,-0.15695088751258152,-0.21805803556785364,-0.2097665851144508,-0.14816859054810744,-0.09403584207014601,-0.17885652556525763,-0.23233566472703718,-0.2128186454622968,3.5597615999260603,0.23481867137102364,1.3638703800547718,6.236266893900443,-0.16075815231609145,-0.2130540739849971,-0.18826502519906596,-0.28655193116561783,-0.21322606665484312,-0.27163407520272775,-0.1787585250099909,-0.36279082005137325,-0.1820188173195389,-0.21478942557649508,-0.20594992593307135,-0.4823798472368086,-0.2883705216842831,-0.19106025429386747,-0.2339671799789064,-0.12693360456090408,-0.25450931450023134,-0.3019254240373028,-0.22589942717354214
fisheries.rate.base.fsh2,-0.16524068112870874,-0.23344460753974333,-0.20907857589797288,-0.21853931971990664,-0.2967321544358035,-0.03580767304112287,-0.2985544114593527,-0.20050340489923582,-0.16439999131266858,-0.3139927938648097,-0.2682111224034909,-0.18681280075109188,-0.32808515610968836,-0.2046191552254386,-0.3131610547643275,-0.1921810875948236,-0.19152224106632326,-0.27950399261425085,-0.1457394984303269,-0.16569005646599785,-0.33827999578939627,-0.09729656127095457,-0.37683308367064383,-0.289283289495351,-0.3030884443614725,-0.19569483041740865,-0.21347011702154498,-0.14580555661060654,-0.24780379299111413,-0.08103974638481883,-0.36385566459843904,-0.14771729432491484,0.5860673127961508,-0.163784040684634,-0.16228022329429695,-0.20134559062896698,0.0140013680585088,-0.11520275299089666,0.268811150089968,-0.23792251052420887,-0.2573810291326854,-0.22517393077272688,-0.14625516700480343,0.012589099350659803,-0.15765000952051084,-0.19269459607667974,-0.23257087679738458,-0.2175019747338059,-0.2064848099546026,-0.1153079839010817,0.3664007890136559,0.04461651989228564,-0.30033820248147364,-0.2520108700437181,-0.1984071136668543,-0.2787730478776147,-0.22079539109124607,-0.24639921929433992,-0.19014872976545685,-0.2934307668088103,-0.21510701040492186,-0.2928699235703012,-0.20952955179162713,-0.360053503423822,-0.41342617423960826,-0.2329500669331341,-0.22045653569762605,-0.46091684365743674,-0.3166370784707741,-0.30672436360864985,-0.27826927775092475,-0.3819495046981997,-0.1434785556606124,-0.3326875170861167,-0.2877194873887103
fisheries.rate.base.fsh3,-0.19368928439371394,-0.23303574167929675,-0.21121776173833937,-0.2015558338394025,-0.23636041380412046,0.13224472364046136,-0.2752283951690623,-0.18621431060999838,-0.21897983511332456,-0.28102974651618134,-0.25094120546556975,-0.16310272349370192,-0.3189168774939606,-0.18548679420252742,-0.31038183369032524,1.0204325773433414,-0.18072758735100364,-0.30066823159292394,-0.13684734827133627,-0.1624095731313071,-0.3125723038330017,-0.10739349517040103,-0.34192138365702573,-0.2633212956262936,-0.24297766675639168,-0.15187557467557308,-0.20379685494255356,-0.13305801359139102,-0.2135350147772242,-0.17834039527762796,-0.3325278583088058,-0.11363547588616646,-0.22388971990483328,-0.15124815295645608,-0.16752712980310128,-0.1056853791480072,-0.11374581549519812,-0.17959294194431763,-0.268139603583085,-0.2200854765241144,-0.24818772304026934,-0.1646589168109381,-0.1346224091050469,-0.13294378872297025,-0.08130392014281267,-0.17163514279236414,-0.20216122486178958,0.03184535787770068,-0.1402064303349264,-0.1382577815071323,-0.050899810206463406,-0.0771652784231933,-0.2057488570650235,-0.24464394324777416,-0.1876153095343131,-0.21527875672541796,-0.1903245267002978,-0.17497831427719351,0.8792244924856333,-0.2804510038868048,-0.20127715197204826,-0.2877155054801221,-0.21159767274264532,-0.38014786590510213,-0.4132290880807945,-0.23079515308249543,-0.22712725187973623,-0.45122917152114655,-0.310029478680063,-0.28771570111595224,-0.29899225673420965,-0.34638947281605437,-0.3577728827329623,-0.3161595233541003,-0.2782786713344549
mortality.additional.larva.rate.mean.sp7,-0.2268218950065106,-0.19718622407007202,-0.2120899233286135,-0.23287426577213521,-0.2895709276666046,-0.1904911964558515,-0.2799239210583814,1.949214153558048,-0.22474557718965654,-0.278746180331267,-0.2803702766489422,-0.17677092131747413,-0.3069610912954471,-0.15708642279192422,-0.32605612577704246,-0.19251377816114426,-0.18716478058670408,-0.32393658298255457,-0.1401090201149212,-0.1639870234196893,-0.3479167406235569,-0.11150097024916882,-0.34118197704916026,2.5181447597182456,-0.30409171152613707,-0.2074932248965287,-0.21187531131000292,-0.14207172472621582,-0.22769035703198842,-0.1722245090408395,-0.3888569108808307,-0.1479833166111515,-0.2388086453924394,-0.17080960153178423,-0.17992016675175854,-0.21051135929389722,-0.1115658490447084,1.6415808747959555,-0.2888843767173056,-0.25046530027061437,-0.2702981876935291,-0.17253733789641332,-0.11871054531045197,-0.4540240596119598,-0.15788867375430207,-0.2193879930956841,-0.22428749907680245,-0.219390064160416,-0.22266572522702496,-0.18903053243943002,1.2348209132210983,-0.22979028033081567,-0.2770746689589026,-0.26087358746468053,-0.19628256991422546,-0.2772303635739542,-0.165281748679927,-0.25189067500643186,-0.1904782137655596,-0.30296070600452857,-0.23007666723422712,-0.29163639955002074,-0.20438437563786033,-0.36473656358864776,-0.4240168376445759,-0.23127323355755022,0.27722747787529317,-0.29502804823479145,-0.328711633173086,-0.3014408779026841,-0.2801859352686506,-0.393008384566994,-0.3027826216795192,-0.33098860032665617,-0.2789688852693213
mortality.additional.larva.rate.mean.sp8,-0.21730934944293495,0.0034853697242432716,-0.21152462986223175,-0.23272150258639612,-0.2868673003849183,-0.15535058635604906,-0.2235863012905467,0.036390101041823275,1.0520324485865205,-0.2877908220609037,-0.2733785526374353,-0.16569809468254287,-0.30865995968442583,-0.18706278869551174,-0.2828753188677561,-0.18438706385242576,-0.17644683998533403,-0.2680271645180725,-0.14608186584776664,-0.1596206517320096,-0.3434134982043139,-0.10543885077248992,-0.2155639991748499,-0.27504175352138677,7.059442966164116,-0.20143433052112406,-0.21449533333384632,-0.13968692485436798,-0.24248370169358724,-0.20028229244010914,-0.39076737999296873,-0.14410780731714698,-0.22261940273833797,-0.13014973172649666,-0.14369874595933058,-0.1968036077731569,-0.11419035117050097,-0.15337059304674225,2.6597528786132094,-0.2645450699968068,-0.23993593952488243,-0.15586999052335607,-0.14933332201668614,-0.22003164663746627,-0.15490303449799622,-0.21116542210677833,-0.012612730771232506,-0.22054664553414322,-0.2240784040364638,-0.16541946196070242,0.06612116790203452,0.8751862420997026,-0.2872873919930157,-0.2573420092289181,-0.18376785741817658,-0.2777500438716567,-0.20430394182433123,-0.23706228625757758,-0.1834714560763778,-0.29693681910556735,-0.19547092477623654,-0.2804959149936493,-0.20311015932896284,-0.36836587341155524,-0.32543383189440145,-0.22224028540825,-0.19331540127275845,0.2361947754819608,-0.3173840093422206,-0.2987551823959407,-0.2337341646763649,-0.39065410060812883,-0.3160372059277781,-0.3178005001574594,-0.25754262245122267
mortality.additional.larva.rate.sp0,6.015835124033338,-0.13947963103280367,-0.0022330378676165747,0.0586107104468567,1.115607215877545,-0.12001936179578865,0.4320012893857652,-0.17123131433776448,0.035189613447516525,-0.15123819575433417,-0.06115628144841908,-0.005680046317481812,0.16334003971591002,0.3529223100676989,1.7021151473990226,-0.12350699449936334,6.456048371878123,0.02652995442602691,-0.0795585394535215,0.06432139237967224,0.665407067329915,-0.06235887894808541,0.3777757649936418,0.3942720917412542,0.6956654832401162,-0.1507220996329969,-0.039670110174880716,-0.055292845638323,0.07055157471849946,0.0397426804081817,4.182101235720882,-0.0768212730328307,8.52662524501057,-0.12101028804574791,0.027691140740962704,-0.1439251529358841,-0.10879883293653703,-0.12344480315750472,0.022136019667626756,0.15216092752588248,-0.1823805251632599,-0.13356163324849285,0.07386919716028177,-0.03865773678602381,-0.08289655295120436,6.1319150481174765,-0.08759641071306179,-0.06103585554015101,-0.012096756900397545,-0.13499849117255516,-0.17037699005564852,-0.07952064947705582,-0.16970735663921466,-0.09592738146718228,-0.07742548297980435,0.02648700059628728,0.04378643124013317,0.5128644843824346,-0.13857906821010915,4.409667628423316,-0.14778738978570527,0.6851446480762738,0.0814097966940003,1.1599646490794677,1.1067718750321285,-0.061279841614158545,-0.14344848879548958,-0.08414911937253337,1.2561166449897707,0.27457825835178407,0.030894130590331383,0.27254296481774093,0.15359209097693008,1.2992985878737446,0.44713057545088614
mortality.additional.larva.rate.sp1,-0.225145551388815,-0.06323527472499962,-0.19724663848557827,-0.21009097674369542,-0.29552248700872724,-0.18812000562351203,-0.22299638960480445,-0.2043224108763291,-0.2325943758046417,-0.29384771582539826,-0.24549535817562562,-0.1761403869823997,-0.32987313582614525,-0.1917007808903511,-0.312268696757202,-0.19135996037879627,-0.18265556248063272,7.52231924652275,-0.14347465572221138,-0.1579898370378048,-0.3514286360400283,-0.10678478108093772,-0.33780802019305683,-0.25475419158251145,-0.28570747598063717,-0.19793202567805493,-0.1848683467663011,-0.14431640391469633,-0.2426990556344288,-0.17567744981993796,-0.3744668715075703,-0.1474966712764216,-0.22055987087193513,-0.03731605445590788,-0.15605687334728238,-0.19181094454623557,-0.11072016651506106,-0.1637381083178304,-0.26100615279661543,-0.2351628447113996,-0.24688960515322303,-0.22216321114692153,-0.1514885311704907,-0.050820709651944504,-0.1575082205352924,-0.21839014552665426,0.034304125150895294,-0.20040476485281136,-0.20342804827353264,-0.18568686903400014,-0.24462251444079655,-0.2340963528408841,-0.2933613746281025,-0.2334184360677505,-0.19589461711517497,-0.2680695063489012,-0.22104013463403208,-0.24749851800277084,-0.1892523175458286,-0.2922530867961664,0.6144252603910896,0.1648718703157831,-0.17434433926128207,-0.08578935783324676,-0.19192951643708403,0.11851857029059165,-0.11999454937031205,1.496855069185727,-0.32559978840866,-0.28337501240471463,-0.29294562703283833,-0.06963429829878097,-0.2294665636779601,-0.06620386172220766,-0.25250100215021626
mortality.additional.larva.rate.sp10,-0.13815829805561722,-0.16786318563556413,0.3398186530147313,0.5694808932864797,-0.12958857788741396,-0.1317630855424438,-0.0210132974862518,-0.21458077367248285,-0.16443916544006149,0.979847108734924,7.071371751046386,-0.012672426830713367,0.7100165725597105,-0.15062367088823514,-0.07377619504365705,-0.1740509710036298,-0.13272989152561823,-0.19250896811059773,0.2207068305618812,0.651438934175139,-0.1494558866439365,0.11201525582916101,-0.14045670167367344,-0.024560383508850772,-0.1025706135022193,0.24624289827388227,12.588656750250456,-0.10243432972554602,0.16791574823264097,-0.1953308448561059,0.030709240222832612,-0.1394924064900315,-0.19153403791303583,-0.1030490240796173,0.1765664969299115,0.237748636330164,-0.11267888579448541,-0.14964933857358265,-0.16720913362617892,0.02928191925931413,9.738900318056166,-0.06271271951414453,0.01794664697507869,0.07494361149129396,-0.14815848002440735,-0.14119120703971438,-0.18506752861635847,0.25427626928947067,0.47154885225000265,-0.1478965648209467,-0.25456873883815384,-0.2044515795662142,0.746733102173904,5.53886056631398,-0.03300975988136592,0.5953013793617777,-0.1798804164604377,-0.15749945789530137,-0.17390380055226112,-0.10240230414664671,-0.1321100224019991,-0.08196486588410448,0.19605781015785506,-0.24252562363881122,0.11646280881444432,-0.12428533237964962,-0.11097142533246199,-0.23983192099079712,-0.0728872249496212,7.375360409786561,0.044240832038370134,1.225343772754101,-0.27191208778515225,-0.17038424755438017,-0.2003191653716473
mortality.additional.larva.rate.sp11,-0.23050875545060845,-0.2297495370124498,-0.21075195672173225,-0.21299913505676865,-0.28094059297538393,-0.19005617895577803,-0.30424802064463813,-0.2271686366436953,-0.23181968108039264,-0.2841604118094924,-0.25331198567160257,-0.1841976687536384,-0.29656047912746947,-0.1288851679992438,-0.310148530700502,-0.1929635676558259,-0.19012146117647027,-0.30366906063346,-0.1479575865538654,-0.15087832596602507,-0.3372990928600566,-0.11460436871420655,-0.35790268154454963,-0.2707003833963581,-0.2676063611099598,-0.20069689128843676,-0.20124021039009685,-0.14185320694519848,-0.2367318549492558,-0.15400030334539253,-0.391215717610523,-0.14783183687009638,-0.24526628055320898,-0.1682598615965537,-0.14385771397546837,-0.20010028994490295,-0.11556974016719271,-0.16657960935516572,-0.23418173738820014,-0.267127087252341,-0.23187250654353617,-0.09234520721515725,-0.15853851891075885,0.06289935681329725,-0.15793839408721125,-0.22407541545768941,-0.2322357960484667,-0.21632241925655876,-0.20391710148449674,-0.18995751794056565,-0.2677944892800242,-0.24029918639253503,-0.2871153157830484,-0.2400298463314739,-0.19536070296763555,-0.28006109992797285,-0.1410557344484163,-0.23593248312383056,-0.19071589106585538,-0.2979227174113099,-0.237191561238932,-0.3041253000492593,-0.19994686051001484,-0.3635684992722665,-0.41321639938760646,-0.23709632694392874,-0.21436706031591016,-0.4404402974585564,-0.3224391989759584,-0.2939377783182133,-0.27668128592824154,-0.3860341742996252,-0.24856409080908412,-0.3310198805703624,-0.2858032041734446
mortality.additional.larva.rate.sp12,-0.22585344547836012,-0.22937279779488395,-0.18772001525769838,-0.20427549885382412,-0.2653885596102278,-0.17872291725150477,-0.2876497254414462,-0.22461331235189994,-0.21606421301401896,-0.1811582211980606,-0.07714270584607753,-0.15003119693796133,2.0943744120934333,-0.08849899513762947,-0.25038961922525027,-0.18739347421065095,-0.18314006631523552,-0.3051567830134131,-0.1340760038620234,-0.14413487898031296,-0.34294058575828384,-0.09778929945906308,-0.3457878439056279,-0.28881420880814856,-0.261802407906824,-0.1866917770560012,-0.2017377791554274,-0.135013432520433,12.30154333934459,-0.11289580753439585,-0.3548443316601796,-0.14672329299135164,-0.23527353501967657,-0.1418965799242921,-0.1729719953072355,-0.18337094577935767,-0.11318544118897106,-0.17351632065887646,-0.23841006382899743,-0.017466458345293423,-0.1807527998857767,0.05759914593277546,0.7559777635406989,0.2530804267109585,-0.15658753408349252,-0.2207924252240883,-0.21687323704284847,-0.20607460775835418,-0.1940826015189716,-0.18122636095174544,-0.25534983808843303,-0.22183600171013215,-0.11103375630922033,-0.026939907690325185,-0.17014934829837747,0.9265303307230398,-0.06915880539865776,-0.21769248267280875,-0.1856472229230783,-0.18154161969338242,-0.20449808210513257,-0.025084083024411265,-0.1418422385430854,-0.04462733701745514,0.2981172116611737,-0.2188612427401835,-0.21629037788192557,-0.2685978543819734,0.2872998233865655,0.6068941075873896,0.3720750219545712,0.1296164317937271,0.09510594696346876,-0.3040597368033766,-0.23859850380403994
