param_name,sp0_mean_TL,sp1_mean_TL,sp2_mean_TL,sp3_mean_TL,sp4_mean_TL,sp5_mean_TL,sp6_mean_TL,sp7_mean_TL,sp8_mean_TL,sp9_mean_TL,sp10_mean_TL,sp11_mean_TL,sp12_mean_TL,sp13_mean_TL,sp14_mean_TL,sp15_mean_TL
species.length2weight.condition.factor.sp14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
species.length2weight.condition.factor.sp15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
species.k.sp0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
species.k.sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.k.sp2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
species.k.sp3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
species.k.sp4,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
species.k.sp5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.k.sp6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.k.sp7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.k.sp8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.k.sp9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
species.k.sp10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.k.sp11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
species.k.sp12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.k.sp13,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
species.k.sp14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
species.k.sp15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
species.l0.sp0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.l0.sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.l0.sp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.l0.sp3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
species.l0.sp4,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
species.l0.sp5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.l0.sp6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
species.l0.sp7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.l0.sp8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.l0.sp9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
species.l0.sp10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
species.l0.sp11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.l0.sp12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.l0.sp13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.l0.sp14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.l0.sp15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mortality.additional.larva.rate.sp0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
mortality.additional.larva.rate.sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mortality.additional.larva.rate.sp2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
mortality.additional.larva.rate.sp3,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
mortality.additional.larva.rate.sp4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mortality.additional.larva.rate.sp5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mortality.additional.larva.rate.sp6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mortality.additional.larva.rate.sp9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
mortality.additional.larva.rate.sp10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mortality.additional.larva.rate.sp11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mortality.additional.larva.rate.sp12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mortality.additional.larva.rate.sp13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
