param_species,biomass_rel,yield_rel,mean_TL,LFI,mean_length
SYC,SYC,SYC,SYC,SYC,SYC
MUR,MUR,MUR,MUR,MUR,MUR
BIB,BIB,BIB,BIB,BIB,BIB
WHG,WHG,WHG,WHG,WHG,WHG
POD,POD,BIB,MAC,MAC,MUR
COD,SYC,SYC,COD,COD,COD
LYY,LYY,WHG,LYY,PLE,LYY
SOL,SOL,SOL,SOL,SOL,SOL
PLE,PLE,PLE,SQZ,PLE,PLE
HOM,MAC,HOM,HOM,HOM,HOM
MAC,MAC,MAC,MAC,MAC,MAC
HER,HER,HER,SQZ,PLE,HER
PIL,PIL,PIL,SQZ,PLE,PIL
SQZ,MAC,SQZ,SQZ,MAC,SQZ
CTC,CTC,CTC,CTC,PLE,CTC
RJC,RJC,RJC,RJC,RJC,RJC
