param_id,param_name,mu,mu_star,sigma,n_ee
74,species.k.sp3,-255.396374331281,37679.7790100551,50015.8924727581,1000
75,species.k.sp4,2692.81753441118,29342.2351107962,37844.1882257987,1000
76,species.k.sp5,-422.241685933801,13769.6098784978,22743.3520180909,1000
77,species.k.sp6,-37.386927458422,12717.7894821723,27355.1681715023,1000
78,species.k.sp7,474.679137269677,12371.8248863278,23736.054032286,1000
79,species.k.sp8,-812.735499398668,18751.7872725371,26185.7507564578,1000
80,species.k.sp9,-269.771805771959,16469.7562009022,34343.5322897549,1000
81,species.k.sp10,138.444604469954,15801.7889345536,25892.3884064879,1000
82,species.k.sp11,9731.80276830253,309236.985380013,490476.540333193,1000
83,species.k.sp12,-1890.50722623859,14743.2207601972,26575.2262435595,1000
84,species.k.sp13,-105.426203147658,180520.262732248,192195.911032021,1000
85,species.k.sp14,-531.475245794831,24609.323187874,37368.3722861014,1000
86,species.k.sp15,295.158956905852,13089.1647544628,20055.1679272983,1000
87,species.l0.sp0,809.443752379966,14871.73683632,25842.0718732984,1000
88,species.l0.sp1,-396.661741066225,12333.7641881531,21419.9006638358,1000
89,species.l0.sp2,-168.07257270267,18220.0476018076,28769.7405806461,1000
90,species.l0.sp3,-459.080161163046,17059.8082565935,25106.8678871787,1000
91,species.l0.sp4,-672.516513948756,20123.7687001353,27559.4368993036,1000
92,species.l0.sp5,-211.546839966561,12443.9688668619,19969.8670212427,1000
93,species.l0.sp6,-301.651990662147,12926.2378373058,22183.4153911448,1000
94,species.l0.sp7,1225.11153439763,13256.0227306366,23645.4985007123,1000
95,species.l0.sp8,72.157995769956,13538.6906275167,22125.9656685341,1000
96,species.l0.sp9,-657.731199029799,18765.4934940525,27212.249372522,1000
97,species.l0.sp10,-430.372106549883,21481.7896287764,31595.6738869935,1000
98,species.l0.sp11,14892.8468698725,239032.673365541,405423.606788436,1000
99,species.l0.sp12,400.436057135511,12598.5711500368,26100.1181808498,1000
100,species.l0.sp13,63.0941619990926,11182.0786371009,16523.2815863312,1000
101,species.l0.sp14,-350.39581922912,13070.6937162743,23041.6816161666,1000
102,species.l0.sp15,42.4734903026415,12271.0952121962,23111.7875099781,1000
103,mortality.additional.larva.rate.sp0,-486.521673147274,31300.4610340591,48806.0649128417,1000
104,mortality.additional.larva.rate.sp1,688.007175947308,12656.8985453671,21976.9305564648,1000
105,mortality.additional.larva.rate.sp2,-967.119833296913,39877.4279984622,55600.8489717573,1000
106,mortality.additional.larva.rate.sp3,-5458.51231670088,88473.7578642411,111775.552634698,1000
107,mortality.additional.larva.rate.sp4,122.611302742106,12879.8656795888,23077.3984020986,1000
108,mortality.additional.larva.rate.sp5,-616.901150746765,12004.4705874615,20416.9198632196,1000
109,mortality.additional.larva.rate.sp6,773.743486714864,12912.9097299548,23614.8068273527,1000
110,mortality.additional.larva.rate.sp9,2229.5727910998,35436.6230259875,50684.9006731885,1000
111,mortality.additional.larva.rate.sp10,-688.508704894824,31924.6198361224,44926.5214025156,1000
112,mortality.additional.larva.rate.sp11,-1104.64094958098,11882.9307373482,20248.3772276551,1000
113,mortality.additional.larva.rate.sp12,1250.31650984056,16948.5065304083,24600.2649905832,1000
114,mortality.additional.larva.rate.sp13,-901.206280586445,15065.8020058613,21753.2025195929,1000
115,mortality.additional.larva.rate.sp14,-305.642058486713,13831.7570589496,21177.6212256813,1000
116,mortality.additional.larva.rate.sp15,-355.682956654931,15715.491738191,27525.7674382289,1000
117,mortality.additional.larva.rate.mean.sp7,-307.700246289671,12461.0363969086,22390.4744384557,1000
118,mortality.additional.larva.rate.mean.sp8,1363.46145968502,14604.4324728822,25995.9071869214,1000
119,species.linf.sp0,5150.0872471295,42226.1638532752,63438.0307377384,1000
120,species.linf.sp1,886.040610480163,18736.9132852637,26865.4397644249,1000
121,species.linf.sp2,-734.355750549199,42424.3722451847,58505.2114945485,1000
122,species.linf.sp3,8037.91947111217,118942.533208012,146031.444219269,1000
123,species.linf.sp4,-1906.68477019946,63779.5350429534,78344.2735592728,1000
124,species.linf.sp5,-803.086967004061,20677.3597674458,30506.608485216,1000
125,species.linf.sp6,-584.544338476036,14829.2037555167,29824.1616724376,1000
126,species.linf.sp7,816.608510420828,13849.426081726,28359.2534469397,1000
127,species.linf.sp8,-608.05847768511,41685.4693275742,49392.6189349708,1000
128,species.linf.sp9,-157.684118209105,34619.6065357659,51267.3461603877,1000
129,species.linf.sp10,801.831508449695,32529.1991822543,47337.5950223344,1000
130,species.linf.sp11,-13047.1087805353,235843.685092075,415710.865414354,1000
131,species.linf.sp12,-420.22771004011,21549.6103843142,36283.9674549199,1000
132,species.linf.sp13,-3289.78740146664,192317.122827545,203969.628497193,1000
133,species.linf.sp14,-1798.55926673556,51371.749584816,56218.1428307778,1000
134,species.linf.sp15,-171.646868725568,15112.1956134905,25567.9230592657,1000
135,species.accessibility2fish.sp16,136.624339649685,11955.8483682083,21872.4168905655,1000
136,species.accessibility2fish.sp17,-722.58910546328,12606.1616323034,21429.7406487503,1000
137,species.accessibility2fish.sp18,1179.26556907338,13737.9953231829,26655.6953015981,1000
138,species.accessibility2fish.sp19,-425.418459689025,27131.0201505465,52668.5542683956,1000
139,species.accessibility2fish.sp20,731.518294667776,12646.344677809,20527.7302057986,1000
140,species.accessibility2fish.sp21,55.6882373585579,76627.220825182,138339.271819299,1000
141,species.accessibility2fish.sp22,-962.841722028637,22221.8652794131,33628.1007159408,1000
142,species.accessibility2fish.sp23,-1340.3234080634,33354.8640878141,38639.247075015,1000
143,species.accessibility2fish.sp24,-2021.53903563684,112792.268862514,118280.597924678,1000
144,species.accessibility2fish.sp25,-215.781728933817,12031.9658057836,20727.7632225124,1000
145,species.accessibility2fish.sp26,-1171.99508788635,13202.577676185,21657.5079491086,1000
146,species.maturity.size.ratio.sp0,589.253147159288,31275.8577095943,49251.0655597879,1000
147,species.maturity.size.ratio.sp1,-495.773166327741,12344.0827869056,23616.3218097617,1000
148,species.maturity.size.ratio.sp2,-2491.16936556965,12552.5127103176,22119.5191732084,1000
149,species.maturity.size.ratio.sp3,-600.380657306203,13656.8130973862,22557.9552153809,1000
150,species.maturity.size.ratio.sp4,1067.15560492605,18216.7837099572,29434.0947535234,1000
151,species.maturity.size.ratio.sp5,185.872101345659,12249.9974835759,22515.2101402245,1000
152,species.maturity.size.ratio.sp6,287.843871264271,13001.4924597513,20884.2162187911,1000
153,species.maturity.size.ratio.sp7,-298.895158859452,11944.2399118757,19177.9608840584,1000
154,species.maturity.size.ratio.sp8,1197.81787220253,12560.4064190295,26175.9832178353,1000
155,species.maturity.size.ratio.sp9,218.911690122606,13078.1961506155,26062.4215080104,1000
156,species.maturity.size.ratio.sp10,-41.7359083406528,14571.2814792869,22638.5224358999,1000
157,species.maturity.size.ratio.sp11,36405.2220008622,731163.501632502,978395.180127299,1000
158,species.maturity.size.ratio.sp12,201.480161230021,12495.451311324,19039.8068724385,1000
159,species.maturity.size.ratio.sp13,869.682800452161,57059.2724267496,79761.198395656,1000
160,species.maturity.size.ratio.sp14,-1236.61130790528,13017.6270000106,20192.5849802481,1000
161,species.maturity.size.ratio.sp15,208.529831694594,15664.3823102447,26157.3068216429,1000
162,predation.predPrey.sizeRatio.teta.sp0.stage1,880.95408113609,13810.8620182887,27917.1223336095,1000
163,predation.predPrey.sizeRatio.alpha.sp0.stage1,398.603139736443,24700.2004003456,38498.3769131037,1000
164,predation.predPrey.sizeRatio.teta.sp1.stage1,554.933472363567,12541.9954509685,21676.1325749412,1000
165,predation.predPrey.sizeRatio.alpha.sp1.stage1,-2161.01715267428,22422.5165136865,31765.8272542712,1000
166,predation.predPrey.sizeRatio.teta.sp2.stage1,-596.969658972028,12795.7778354517,21550.872858186,1000
167,predation.predPrey.sizeRatio.alpha.sp2.stage1,1789.26139346075,29326.2464062549,43229.5313821713,1000
168,predation.predPrey.sizeRatio.teta.sp3.stage1,-249.390189367304,13071.9343153398,25852.2488615772,1000
169,predation.predPrey.sizeRatio.alpha.sp3.stage1,-1559.38814597902,42473.4101315543,65002.7644261569,1000
170,predation.predPrey.sizeRatio.teta.sp4.stage1,1323.15421658136,17625.6942674642,28521.2151731434,1000
171,predation.predPrey.sizeRatio.alpha.sp4.stage1,3035.53363969245,48062.432471514,60910.5177827731,1000
172,predation.predPrey.sizeRatio.teta.sp5.stage1,897.137539141512,13433.0709245358,30104.1118028617,1000
173,predation.predPrey.sizeRatio.teta.sp5.stage2,50.1537027829703,14298.2144370737,26112.3205924416,1000
174,predation.predPrey.sizeRatio.alpha.sp5.stage1,1039.16151745819,12344.6891569786,23057.0254179906,1000
175,predation.predPrey.sizeRatio.alpha.sp5.stage2,-103.815964908578,12686.0006656626,21202.9175960135,1000
176,predation.predPrey.sizeRatio.teta.sp6.stage1,-291.225108006736,11272.6422088194,19347.8944264695,1000
177,predation.predPrey.sizeRatio.alpha.sp6.stage1,1372.20822522004,13134.0575664344,25624.7657641596,1000
178,predation.predPrey.sizeRatio.teta.sp7.stage1,337.520272471171,12184.2588618243,21246.0299465379,1000
179,predation.predPrey.sizeRatio.alpha.sp7.stage1,-235.528575717845,15750.4237840999,23559.3396737076,1000
180,predation.predPrey.sizeRatio.teta.sp8.stage1,-625.905204391244,12430.4528745223,23853.3561496199,1000
181,predation.predPrey.sizeRatio.alpha.sp8.stage1,-925.284294275281,30651.9068854583,39070.6656453295,1000
182,predation.predPrey.sizeRatio.teta.sp9.stage1,-1924.35166212089,24821.4246006002,35548.2087706708,1000
183,predation.predPrey.sizeRatio.alpha.sp9.stage1,929.451241725889,24269.0874933718,36406.9640613182,1000
184,predation.predPrey.sizeRatio.teta.sp10.stage1,-1032.31228353741,14862.8494023553,35254.0594478511,1000
185,predation.predPrey.sizeRatio.alpha.sp10.stage1,-74.5067648421396,14391.8970938547,28035.6478904212,1000
186,predation.predPrey.sizeRatio.teta.sp11.stage1,-2393.25904601907,40006.1060511217,68085.7457737876,1000
187,predation.predPrey.sizeRatio.alpha.sp11.stage1,3859.56013839878,49647.1140884397,102172.938817172,1000
188,predation.predPrey.sizeRatio.teta.sp12.stage1,197.600054297911,13030.1055606175,19492.6927996715,1000
189,predation.predPrey.sizeRatio.alpha.sp12.stage1,-120.479445651064,15610.5188096595,31700.5866416193,1000
190,predation.predPrey.sizeRatio.teta.sp13.stage1,-203.493906545179,14509.5641739544,24489.1524330138,1000
191,predation.predPrey.sizeRatio.alpha.sp13.stage1,4449.00120648817,33765.116729614,51436.7988923383,1000
192,predation.predPrey.sizeRatio.teta.sp14.stage1,-1230.00714588522,13092.6863714031,22353.6395571062,1000
193,predation.predPrey.sizeRatio.alpha.sp14.stage1,1009.46799285147,40104.3843758279,46503.4090840989,1000
194,predation.predPrey.sizeRatio.teta.sp15.stage1,-372.114075873981,12911.9113010485,22813.7678509418,1000
195,predation.predPrey.sizeRatio.alpha.sp15.stage1,164.294569416313,13289.8719756261,24447.610676411,1000
