species,param_id,param_name,mu,mu_star,sigma,n_ee
sp0,1,mortality.additional.rate.sp0,-0.00191746601710241,0.0629000620028976,0.167972371671808,1000
sp0,2,mortality.additional.rate.sp1,0.00197625481205189,0.0566012268935423,0.141118788845707,1000
sp0,3,mortality.additional.rate.sp2,0.0102489273556664,0.0661247231706665,0.108806015074817,1000
sp0,4,mortality.additional.rate.sp3,0.00200340656610294,0.095883813553603,0.156011897514301,1000
sp0,5,mortality.additional.rate.sp4,-0.00270366265324166,0.0532010744569859,0.109294156012112,1000
sp0,6,mortality.additional.rate.sp5,0.0104154505262498,0.16542536231375,0.213516518871301,1000
sp0,7,mortality.additional.rate.sp6,0.00203650646459495,0.0559498377020947,0.148881274134593,1000
sp0,8,mortality.additional.rate.sp7,-0.00740381483890925,0.0595566374787315,0.215953850822167,1000
sp0,9,mortality.additional.rate.sp8,0.00828549748924777,0.0598809798748937,0.174118941465774,1000
sp0,10,mortality.additional.rate.sp9,0.000172962936502581,0.0560654266969014,0.176109644702782,1000
sp0,11,mortality.additional.rate.sp10,-0.00131899598394062,0.0527907299319729,0.0927909169531925,1000
sp0,12,mortality.additional.rate.sp11,-0.00853245062915559,0.0568727799671444,0.122736097562119,1000
sp0,13,mortality.additional.rate.sp12,0.00507872811031266,0.0497627992028126,0.075184895429312,1000
sp0,14,mortality.additional.rate.sp13,-0.0069969362015178,0.0634894473916744,0.197937786295614,1000
sp0,15,mortality.additional.rate.sp14,-0.0022387983208263,0.0599575789050749,0.10697523811643,1000
sp0,16,mortality.additional.rate.sp15,-0.00612017157032448,0.0551306940578245,0.106409189017263,1000
sp0,17,fisheries.rate.base.fsh0,0.0133013850375002,0.2472756349875,0.323446564420228,1000
sp0,18,fisheries.rate.base.fsh1,-0.00665661475935289,0.0735295275706472,0.186460010139022,1000
sp0,19,fisheries.rate.base.fsh2,0.000704108711249746,0.0546390423162503,0.0826734790067118,1000
sp0,20,fisheries.rate.base.fsh3,-0.00137119883541249,0.0659443217504126,0.109299051358652,1000
sp0,21,species.catchability.fsh0.sp0,-0.00146064724781416,0.114074762781959,0.162631621911983,1000
sp0,22,species.catchability.fsh0.sp1,-0.00220836706864269,0.058230718110396,0.101980460276237,1000
sp0,23,species.catchability.fsh0.sp2,-3.25424049998801e-05,0.0535852355675001,0.081531879701947,1000
sp0,24,species.catchability.fsh0.sp3,-0.00227842087236692,0.151581796456021,0.228363334593732,1000
sp0,25,species.catchability.fsh0.sp5,0.00520478022993428,0.101434411201775,0.27859700253483,1000
sp0,26,species.catchability.fsh0.sp7,-0.00426273059121234,0.0514573179437121,0.0846781067824195,1000
sp0,27,species.catchability.fsh0.sp8,0.00924339000203285,0.0593532595846698,0.108742373200965,1000
sp0,28,species.catchability.fsh0.sp9,-0.000586627073190925,0.0523733358339602,0.0916537225107341,1000
sp0,29,species.catchability.fsh0.sp10,0.00628600722883607,0.0711507116143441,0.189163135167282,1000
sp0,30,species.catchability.fsh0.sp13,0.00530965109443188,0.0559073580730684,0.101192386429962,1000
sp0,31,species.catchability.fsh0.sp14,-0.00212145895100883,0.0610185176085089,0.179474845547645,1000
sp0,32,species.catchability.fsh0.sp15,-0.000926230372554239,0.0511067895464262,0.100973840432086,1000
