param_id,param_name,mu,mu_star,sigma,n_ee
1,mortality.additional.rate.sp0,234.597384221746,1201.4776820774,4160.68691044863,1000
2,mortality.additional.rate.sp1,98.7731754782183,1116.85923294722,2285.47143134864,1000
3,mortality.additional.rate.sp2,28.1067601929449,1025.26184154904,1671.52172552793,1000
4,mortality.additional.rate.sp3,145.621408002647,1562.5059977943,2278.56072937836,1000
5,mortality.additional.rate.sp4,-12.1855964214956,1052.12769607147,1893.35148072924,1000
6,mortality.additional.rate.sp5,-165.319010164247,1340.34930020241,2750.02656855743,1000
7,mortality.additional.rate.sp6,-38.5016363285312,1036.18420548012,1748.50666333121,1000
8,mortality.additional.rate.sp7,1.99760625215759,1162.01558829318,2580.44670932125,1000
9,mortality.additional.rate.sp8,-23.8072005098406,1082.42807807418,2203.55956835495,1000
10,mortality.additional.rate.sp9,139.725513758069,1132.91836600674,2266.47406616415,1000
11,mortality.additional.rate.sp10,17.9079633733718,1024.84192938392,1833.75296083669,1000
12,mortality.additional.rate.sp11,72.4598129985872,1049.73637228271,2264.61445932278,1000
13,mortality.additional.rate.sp12,16.6415395869777,1085.53043076786,2113.30424596803,1000
14,mortality.additional.rate.sp13,-17.0484440281491,1096.64397654587,2238.48653507498,1000
15,mortality.additional.rate.sp14,10.898200654176,1215.79622924016,2706.94707945664,1000
16,mortality.additional.rate.sp15,-118.144740988678,1128.35960910996,2125.97085182839,1000
17,fisheries.rate.base.fsh0,-115.609227125081,4925.63722375655,5667.78200338279,1000
18,fisheries.rate.base.fsh1,649.297808761496,12901.100928627,16029.9311440975,1000
19,fisheries.rate.base.fsh2,-21.6298720451361,1130.39801686412,2306.38382883171,1000
20,fisheries.rate.base.fsh3,25.5158689912048,1408.58645188461,2820.03081599833,1000
21,species.catchability.fsh0.sp0,22.7199250642616,1263.69455357924,2043.77281171739,1000
22,species.catchability.fsh0.sp1,74.2036562829456,1146.18356492363,1846.58349390486,1000
23,species.catchability.fsh0.sp2,-267.691393940715,1778.36763608962,2998.59059933292,1000
24,species.catchability.fsh0.sp3,-87.2717389981209,1912.68234614611,2971.99473845763,1000
25,species.catchability.fsh0.sp5,-53.4349853349931,1159.67005536689,2241.46092358974,1000
26,species.catchability.fsh0.sp7,-25.9231778370973,1066.34432976624,1878.74109546495,1000
27,species.catchability.fsh0.sp8,-162.644433281351,1354.18693397464,3119.06842401546,1000
28,species.catchability.fsh0.sp9,93.5136188827671,1095.70623112685,1930.53948868267,1000
29,species.catchability.fsh0.sp10,-4.01463491893125,1286.04044840012,2137.17778534781,1000
30,species.catchability.fsh0.sp13,-19.9992364243239,1406.54194959339,2885.74660041103,1000
31,species.catchability.fsh0.sp14,103.109600603019,1155.62174669656,2168.53330209402,1000
32,species.catchability.fsh0.sp15,-22.8750336044218,1093.75452434044,2272.47256951692,1000
33,species.catchability.fsh1.sp9,21.1505399983223,2197.86430676475,3308.83363683099,1000
34,species.catchability.fsh1.sp10,-131.066350440454,1417.03902207461,3015.04158828704,1000
35,species.catchability.fsh1.sp11,65.7452822788488,8942.08820961017,12421.977887669,1000
36,species.catchability.fsh1.sp12,-22.3275449895825,1963.5222338931,2763.30133032074,1000
37,species.catchability.fsh2.sp0,-40.9198914562641,1169.37857691634,3020.89894070664,1000
38,species.catchability.fsh2.sp5,9.55971171313621,982.657987388196,1572.7564993467,1000
39,species.catchability.fsh2.sp7,19.5528019475068,1058.5187088755,1817.34769645081,1000
40,species.catchability.fsh2.sp8,-153.465075918293,1123.69455917686,2315.76758534916,1000
41,species.catchability.fsh3.sp0,-32.15102694445,1007.21948327678,1828.69373223421,1000
42,species.catchability.fsh3.sp1,24.3850954364836,1126.6523011709,2216.78433518015,1000
43,species.catchability.fsh3.sp2,144.798536521805,1139.86247706199,2553.33134729729,1000
44,species.catchability.fsh3.sp3,-92.2554091449864,1204.37777330106,2804.84827475828,1000
45,species.catchability.fsh3.sp5,60.9707670794364,1175.46143559353,2410.89158443562,1000
46,species.catchability.fsh3.sp7,-44.5793939795314,1051.44226273048,2016.24311313629,1000
47,species.catchability.fsh3.sp8,129.700572717414,1190.37682985188,3281.76237537408,1000
48,species.catchability.fsh3.sp9,-69.4723629449797,1141.46093940631,2789.56991138351,1000
49,species.catchability.fsh3.sp10,102.390600254642,1072.5368397904,2382.63233063109,1000
50,species.catchability.fsh3.sp11,5.90199347333613,1082.96729349526,1815.21304303742,1000
51,species.catchability.fsh3.sp12,34.246097290845,1189.08935462371,2211.00882117235,1000
52,species.catchability.fsh3.sp13,138.61254835066,1134.77137870193,2260.12904359981,1000
53,species.catchability.fsh3.sp14,19.4518661263766,1100.18100613489,1985.22680138013,1000
54,species.catchability.fsh3.sp15,-47.6677457340478,1001.99659936386,1766.12953941901,1000
55,species.length2weight.condition.factor.sp0,-18.4005484345275,1303.9101015965,2125.64831010896,1000
56,species.length2weight.condition.factor.sp1,101.465334480402,1138.16962575434,2439.45206466091,1000
57,species.length2weight.condition.factor.sp2,89.3744947781533,1181.0946028171,2472.24219136765,1000
58,species.length2weight.condition.factor.sp3,-53.2335583120057,1640.99406944447,2734.08114929503,1000
59,species.length2weight.condition.factor.sp4,48.486790869347,1316.64736173331,2005.97008260131,1000
60,species.length2weight.condition.factor.sp5,-32.0742209965299,1153.57721593758,2440.04194760254,1000
61,species.length2weight.condition.factor.sp6,176.917467259974,1139.71858975753,2459.41247978492,1000
62,species.length2weight.condition.factor.sp7,77.7389085247114,1156.00559789782,2700.08437148066,1000
63,species.length2weight.condition.factor.sp8,27.4230607034299,1052.68825946815,2359.34629030305,1000
64,species.length2weight.condition.factor.sp9,-26.7557971391018,1338.19641247885,2446.56203070943,1000
