species.maturity.size.ratio.sp0,0.60426236,logit
species.maturity.size.ratio.sp1,0.1431463,logit
species.maturity.size.ratio.sp2,0.44665994,logit
species.maturity.size.ratio.sp3,0.3649812,logit
species.maturity.size.ratio.sp4,0.45522569,logit
species.maturity.size.ratio.sp5,0.53013666,logit
species.maturity.size.ratio.sp6,0.52671066,logit
species.maturity.size.ratio.sp7,0.51658232,logit
species.maturity.size.ratio.sp8,0.36434828,logit
species.maturity.size.ratio.sp9,0.42366568,logit
species.maturity.size.ratio.sp10,0.49131192,logit
species.maturity.size.ratio.sp11,0.7520003,logit
species.maturity.size.ratio.sp12,0.53568094,logit
species.maturity.size.ratio.sp13,0.5,logit
species.maturity.size.ratio.sp14,0.40327869,logit
species.maturity.size.ratio.sp15,0.67114006,logit
