param_id,param_name,mu,mu_star,sigma,n_ee
1,mortality.additional.rate.sp0,309.906040434158,1576.86040931714,5040.46933900742,1000
2,mortality.additional.rate.sp1,161.116078757065,1451.06514514745,2887.5220365875,1000
3,mortality.additional.rate.sp2,35.9129167232186,1371.86121146595,2248.17121941279,1000
4,mortality.additional.rate.sp3,175.51038448795,1954.41395456738,2793.19296162778,1000
5,mortality.additional.rate.sp4,24.0295205083249,1409.75362109861,2617.40417016928,1000
6,mortality.additional.rate.sp5,-212.16271498714,1691.91451284866,3287.9033254712,1000
7,mortality.additional.rate.sp6,-14.4994008358002,1376.89905091137,2254.08416218503,1000
8,mortality.additional.rate.sp7,-1.91409683784949,1498.59166502391,3098.65415706056,1000
9,mortality.additional.rate.sp8,-27.5514825710945,1395.67606044272,2691.34248057823,1000
10,mortality.additional.rate.sp9,110.195798871544,1482.86245368493,2679.05991465245,1000
11,mortality.additional.rate.sp10,20.0145286871943,1342.0572161625,2330.528494682,1000
12,mortality.additional.rate.sp11,89.3067755310011,1384.44036800058,2903.56168896656,1000
13,mortality.additional.rate.sp12,28.0379497218571,1416.47297668245,2650.89239155265,1000
14,mortality.additional.rate.sp13,-31.6376322663554,1427.9833527123,2827.91506367732,1000
15,mortality.additional.rate.sp14,-20.4560795934428,1593.48539088944,3316.48558416464,1000
16,mortality.additional.rate.sp15,-148.105529258878,1466.51885012557,2720.29966247873,1000
17,fisheries.rate.base.fsh0,-166.749235999066,7315.47318853497,8087.37388730037,1000
18,fisheries.rate.base.fsh1,812.292859606933,17739.51154637,21446.4667441628,1000
19,fisheries.rate.base.fsh2,-56.9127712979902,1428.05356530073,2657.80576059959,1000
20,fisheries.rate.base.fsh3,-7.29305985785295,2488.76479356883,3835.11500866624,1000
21,species.catchability.fsh0.sp0,3.39265321725631,1578.5919444324,2486.00662613629,1000
22,species.catchability.fsh0.sp1,51.3559869890067,1486.55335677047,2344.67264587429,1000
23,species.catchability.fsh0.sp2,-321.134981924103,2177.90265118621,3791.50834386168,1000
24,species.catchability.fsh0.sp3,-100.456368430851,2380.70592739201,3752.53154335898,1000
25,species.catchability.fsh0.sp5,-81.541523902319,1457.04123627195,2780.19341080406,1000
26,species.catchability.fsh0.sp7,-33.0465159458258,1425.93868481026,2482.03133834822,1000
27,species.catchability.fsh0.sp8,-174.746667456834,1724.80100812683,3778.94474300378,1000
