param_name,mu_star_mean,order
maturity.size.ratio.MAC,0.0467239162578138,126
species.catchability.MT.MAC,0.0404289025667561,127
vb.growth.linf.HOM,0.164042842459178,128
vb.growth.l0.MAC,0.102137889535932,129
predation.size.ratio.alpha.MAC.stage1,0.0549317815549377,130
vb.growth.k.MAC,0.0660466594681866,131
vb.growth.linf.RJC,0.0978727123433418,132
maturity.size.ratio.RJC,0.0857099047368776,133
mortality.larva.rate.RJC,0.0827679790651929,134
species.catchability.BT.RJC,0.0285569103456126,135
fleet.catchability.OT,0.0369746101427562,136
species.catchability.OT.RJC,0.0322813231917994,137
vb.growth.l0.RJC,0.0311488624674862,138
length2weight.condition.factor.RJC,0.0443823279671645,139
vb.growth.k.RJC,0.0593109401873442,140
vb.growth.k.CTC,0.0343639894779865,141
predation.size.ratio.alpha.CTC.stage1,0.0430459385940018,142
vb.growth.linf.CTC,0.0521096539116645,143
predation.size.ratio.alpha.MUR.stage1,0.0407493101485862,144
vb.growth.linf.MUR,0.0563639826838276,145
predation.size.ratio.teta.LYY.stage1,0.0275042137767452,146
resource.accessibility2fish.MB,0.0297101423023757,147
maturity.size.ratio.LYY,0.0250163704337538,148
vb.growth.l0.MUR,0.0276749604485147,149
resource.accessibility2fish.DFB,0.041333883162852,150
vb.growth.k.MUR,0.0332966762814621,151
vb.growth.k.LYY,0.0419850917681947,152
predation.size.ratio.alpha.LYY.stage1,0.0324922023202979,153
vb.growth.l0.LYY,0.0315488815232699,154
predation.size.ratio.alpha.SOL.stage1,0.0405759837273491,155
vb.growth.linf.SOL,0.0410897879645311,156
length2weight.condition.factor.HER,0.0389702925111811,157
predation.size.ratio.teta.HER.stage1,0.028284904686445,158
predation.size.ratio.alpha.HER.stage1,0.0313117413235113,159
species.catchability.MT.HER,0.0294740704660428,160
vb.growth.linf.PIL,0.0735726577083967,161
length2weight.condition.factor.BIB,0.0386873596518568,162
mortality.additional.rate.BIB,0.0358548889535967,163
length2weight.condition.factor.SQZ,0.0375149823739615,164
predation.size.ratio.alpha.SQZ.stage1,0.0520663805658879,165
vb.growth.l0.POD,0.041589063549583,166
vb.growth.linf.LYY,0.0761457533423322,167
vb.growth.linf.PLE,0.0864322083132753,168
predation.size.ratio.alpha.PLE.stage1,0.061745968438323,169
vb.growth.k.PLE,0.0393665040374429,170
predation.size.ratio.alpha.BIB.stage1,0.0883317113012585,171
vb.growth.k.BIB,0.0884923168831718,172
vb.growth.l0.BIB,0.0821747756186331,173
mortality.additional.rate.COD,0.063937662519906,174
predation.size.ratio.teta.COD.stage2,0.0813340493418656,175
vb.growth.k.COD,0.0554484660040379,176
predation.size.ratio.alpha.COD.stage2,0.0487989362142049,177
species.catchability.BT.COD,0.0405299848359783,178
mortality.additional.rate.WHG,0.0376617212677416,179
length2weight.condition.factor.WHG,0.0472909831820843,180
species.catchability.BT.WHG,0.0467030079076546,181
vb.growth.l0.WHG,0.0435015674772809,182
resource.accessibility2fish.SFB,0.0984845034109285,183
predation.size.ratio.alpha.WHG.stage1,0.11544779792616,184
vb.growth.k.WHG,0.104016806692872,185
vb.growth.linf.COD,0.147609631600927,186
length2weight.condition.factor.SYC,0.093789962521819,187
predation.size.ratio.alpha.SYC.stage1,0.110747721530755,188
fleet.catchability.BT,0.100201321058155,189
species.catchability.BT.SYC,0.0719140331074979,190
vb.growth.l0.SYC,0.0703056216481615,191
maturity.size.ratio.HER,0.194069367038671,192
vb.growth.k.HER,0.0888752277732763,193
vb.growth.l0.HER,0.0712356278398188,194
vb.growth.linf.HER,0.0766083902552322,195
