param_id,param_name,mu,mu_star,sigma,n_ee
1,mortality.additional.rate.sp0,-7.91475320811743e-05,0.00158519942880217,0.00216194026917826,1000
2,mortality.additional.rate.sp1,-1.67396213349789e-06,0.00147811328649143,0.00197807925229892,1000
3,mortality.additional.rate.sp2,4.20410014941149e-05,0.00198481384904669,0.0026457974584288,1000
4,mortality.additional.rate.sp3,-0.000149848178706652,0.00218419823738442,0.00289075097741025,1000
5,mortality.additional.rate.sp4,-6.91511411160782e-05,0.00148428851775202,0.00197089808595771,1000
6,mortality.additional.rate.sp5,-0.000220917844840867,0.00269820601612654,0.00384040356637583,1000
7,mortality.additional.rate.sp6,-0.000174554822263783,0.0015288683248217,0.00205966128203296,1000
8,mortality.additional.rate.sp7,-2.92873955001948e-05,0.00153980080223676,0.00203247634295288,1000
9,mortality.additional.rate.sp8,-0.000127230842711182,0.00155847721561439,0.00204358251433129,1000
10,mortality.additional.rate.sp9,-2.21102725311166e-05,0.00146582755235984,0.0019395758387896,1000
11,mortality.additional.rate.sp10,-6.64704063201232e-05,0.00151354282335282,0.00201789977805932,1000
12,mortality.additional.rate.sp11,0.000133396842262707,0.00145386783996402,0.0019695546648646,1000
13,mortality.additional.rate.sp12,-5.45566581092413e-05,0.00154548625254754,0.00204126857758028,1000
14,mortality.additional.rate.sp13,2.37509152452174e-06,0.00150183813033027,0.00199043687772502,1000
15,mortality.additional.rate.sp14,-1.82083498959596e-05,0.00147960033193784,0.00196185261682693,1000
16,mortality.additional.rate.sp15,4.69298333818464e-05,0.001497597789057,0.00204184124703391,1000
17,fisheries.rate.base.fsh0,-0.000254507206474373,0.00681251797470441,0.0087967491655063,1000
18,fisheries.rate.base.fsh1,2.3441222174538e-05,0.015469228915376,0.0167097840694837,1000
19,fisheries.rate.base.fsh2,-5.67122472886242e-05,0.00193778708323189,0.002638950597494,1000
20,fisheries.rate.base.fsh3,4.72447173251837e-05,0.00172603576679971,0.00227171063411659,1000
21,species.catchability.fsh0.sp0,-0.000151917846478726,0.00332718750509887,0.00571385767501169,1000
22,species.catchability.fsh0.sp1,0.000152226534859183,0.00212907156409026,0.00288235318351643,1000
23,species.catchability.fsh0.sp2,0.000130198380603179,0.00220168653903194,0.00296037308203304,1000
24,species.catchability.fsh0.sp3,0.000167115150967261,0.00305687926420984,0.00431123163956424,1000
25,species.catchability.fsh0.sp5,8.95128328200467e-05,0.00245586075983956,0.00328873421956842,1000
26,species.catchability.fsh0.sp7,2.63864370115437e-05,0.0015291347761805,0.00202393576944586,1000
27,species.catchability.fsh0.sp8,0.000299317973283437,0.00552184826730655,0.00665357904405521,1000
28,species.catchability.fsh0.sp9,2.20820225965033e-06,0.00146794922341984,0.00199823520769929,1000
29,species.catchability.fsh0.sp10,-1.55762731863619e-05,0.00202138567567271,0.00281039301305793,1000
30,species.catchability.fsh0.sp13,-8.0012055033828e-05,0.00199280722255946,0.00275851948003571,1000
31,species.catchability.fsh0.sp14,-1.52636061609821e-05,0.00156816779939008,0.00208328458878871,1000
32,species.catchability.fsh0.sp15,-6.22445544824153e-06,0.00152131277640771,0.00206507329333379,1000
33,species.catchability.fsh1.sp9,5.67386007483333e-06,0.00213801567811344,0.00298342353734283,1000
34,species.catchability.fsh1.sp10,1.94757480044419e-05,0.00254824561918885,0.0035619567773427,1000
35,species.catchability.fsh1.sp11,-7.09755513195081e-05,0.0095479305249238,0.0107001326225271,1000
36,species.catchability.fsh1.sp12,-0.000140437637543211,0.00301610185796178,0.00378006666731932,1000
37,species.catchability.fsh2.sp0,6.38618666261019e-05,0.00186100310820817,0.00253017285032888,1000
38,species.catchability.fsh2.sp5,9.30827973303648e-05,0.00151274292657484,0.00201021268711637,1000
39,species.catchability.fsh2.sp7,-1.64713598357142e-05,0.00156392406848821,0.00209049428829729,1000
40,species.catchability.fsh2.sp8,3.22225236803512e-05,0.00148527001374201,0.00197162626884309,1000
41,species.catchability.fsh3.sp0,-4.98246592011173e-05,0.00156131239304747,0.00207456204498121,1000
42,species.catchability.fsh3.sp1,2.0690086806194e-05,0.00149035604935162,0.00197416968172734,1000
43,species.catchability.fsh3.sp2,-5.34957910430525e-05,0.00154497730934211,0.00206540830150994,1000
44,species.catchability.fsh3.sp3,-1.29085751038956e-06,0.00162933025757587,0.00210033260202688,1000
45,species.catchability.fsh3.sp5,-0.000124732921576614,0.0014888584125564,0.00196139676235914,1000
46,species.catchability.fsh3.sp7,-2.67442249664702e-06,0.00149359383059093,0.00204768528565694,1000
47,species.catchability.fsh3.sp8,-7.83885764868398e-05,0.00169450063733572,0.00224697267718793,1000
48,species.catchability.fsh3.sp9,-8.14584763854884e-06,0.00152319606266053,0.00202682487395044,1000
49,species.catchability.fsh3.sp10,1.14739116783727e-05,0.00152259754147694,0.00206043163211511,1000
