"X","x"
1,6.38519829118372
2,6.11903572527611
3,5.88027710686806
4,5.66628134525258
5,5.47473810903694
6,5.30362452735493
7,5.15116822544149
8,5.01581571382036
9,4.89620530666565
10,4.79114388214567
11,4.69958690811813
12,4.62062124423176
13,4.55345032870659
14,4.49738138951773
15,4.45181439881544
16,4.41623252563251
17,4.39019387433565
18,4.37332433344886
19,4.36531138044505
20,4.36589872336743
21,4.3748816544232
22,4.39210302500435
23,4.41744976779305
24,4.45084988207791
25,4.49226980222011
26,4.54149995289931
27,4.59761433727727
28,4.65950319529267
29,4.72601013888688
30,4.79591804122555
31,4.86793794822877
32,4.94070132407642
33,5.01275596427695
34,5.08256600996392
35,5.14851645800777
36,5.20892259870084
37,5.26204469649493
38,5.30610817875567
39,5.33932939925124
40,5.35994687629906
41,5.36625765482632
42,5.35665813469924
43,5.32968844080521
44,5.28407903865969
45,5.2187980095646
46,5.13309710102152
47,5.02655442124838
48,4.89911150654056
49,4.75110340234337
50,4.58450469502225
51,4.40501563866559
52,4.21851713773086
53,4.03022922806744
54,3.84465595957757
55,3.66558469568129
56,3.49612790047328
57,3.33879597054524
58,3.19559108572061
59,3.06811412310084
60,2.95767904348604
61,2.86543156678608
62,2.79247142063719
63,2.7399798530394
64,2.70935663128777
65,2.7023736040312
66,2.72135533448568
67,2.76940198020277
68,2.85067603781133
69,2.97078408984957
70,3.13729897790799
71,3.36048961818781
72,3.65435956050929
73,4.03814341420048
74,4.53589624875024
75,5.17321537929712
76,5.98242392413884
77,7.00512821151806
78,8.29431211650581
79,9.91683628715604
80,11.9563191756317
81,14.5163204097951
82,17.7236588781732
83,21.731570533447
84,26.7222388586583
85,32.9080136171892
86,40.5303819525597
87,49.8554945520804
88,61.1648291914739
89,74.7394701458915
90,90.8366006624678
91,109.657274161688
92,131.305474994884
93,155.739990034155
94,182.722686336152
95,211.76926244771
96,242.111045319998
97,272.679424609277
98,302.380611882603
99,330.619858179609
100,357.025737885381
101,381.4063218251
102,403.753403349235
103,424.235128990258
104,443.181228418769
105,461.065428629772
106,478.489498135936
107,496.172951484426
108,514.952012179028
109,535.79123937062
110,559.811488738649
111,588.338855304234
112,622.981221615105
113,665.742460692792
114,719.189948842934
115,786.700068990348
116,872.820965194402
117,983.815653118168
118,1128.48824570498
119,1319.46319164667
120,1575.20333552757
121,1923.23205893302
122,2401.7450344305
123,3058.87105143422
124,3960.25736067916
125,5195.20320688453
126,6883.15381388837
127,9180.51684943877
128,12286.56345836
129,16446.2269612656
130,21946.4157648747
131,29101.2278758694
132,38220.6729781023
133,49557.9766861821
134,63233.3138136183
135,79137.8726455506
136,96831.7479738243
137,115460.93218661
138,133728.862649409
139,149960.528682123
140,162285.385581063
141,168935.691453266
142,168613.322452669
143,160834.696723383
144,146141.616306553
145,126089.061722118
146,103225.317454505
147,80472.7578476391
148,59978.192418105
149,42908.9293276646
150,29582.8346802749
151,19733.2076064689
152,12786.4316115342
153,8080.21280341251
154,4999.72349811506
155,3041.21351626405
156,1825.80150127804
157,1086.1602814852
158,642.829756170181
159,380.003598081335
160,225.26676134452
161,134.4473287767
162,81.1112106288767
163,49.6605149233878
164,30.9792692486799
165,19.7691830478945
166,12.9566242878861
167,8.75605707342532
168,6.12585714051535
169,4.45426759457195
170,3.37182277587184
171,2.65279929523178
172,2.16495908282644
173,1.82917419271648
174,1.59688977290074
175,1.43768500384978
176,1.33221985761723
177,1.2681360477693
178,1.23762195604233
179,1.23593833573823
180,1.26051108446131
181,1.31036423577591
182,1.38575775301462
183,1.48794526136692
184,1.61899449358542
185,1.78162786249426
186,1.97904767033399
187,2.21471362643947
188,2.49204219091953
189,2.81400018995797
190,3.18257172671336
191,3.59809025017348
192,4.05844912834907
193,4.55833594816258
194,5.09266975142646
195,5.65970988188924
196,6.25750203915692
197,6.88358544358486
198,7.53501283155101
199,8.20838218540685
200,8.89987956238232
201,9.60533200452443
202,10.3202692077073
203,11.0399922569924
204,11.759647730851
205,12.4743050345209
206,13.1790350791518
207,13.8689882175268
208,14.5394694062357
209,15.1860090312038
210,15.8044275570729
211,16.3908928090515
212,16.9419687720937
213,17.4546551925778
214,17.9264174106169
215,18.3552063848785
216,18.7394689480371
217,19.0781600161005
218,19.3710612889887
219,19.6188343482352
220,19.8226378407671
221,19.9840615332945
222,20.10507697939
223,20.1879860992596
224,20.2353692067104
225,20.2500337986046
226,20.2349651075666
227,20.1932796760445
228,20.1281823139084
229,20.0429275451929
230,19.9407854867953
231,19.8250128453695
232,19.6988289085111
233,19.5653967303863
234,19.4278093593067
235,19.2890809738163
236,19.1521428605713
237,19.0198438146461
238,18.8949550099201
239,18.7801788820532
240,18.6781620145196
241,18.591178067844
242,18.5138409469533
243,18.433260319968
244,18.3364459501254
245,18.2107115661779
246,18.0438323636506
247,17.8242857125138
248,17.5415650159683
249,17.1865521377784
250,16.7519269341363
251,16.2325868980138
252,15.6260434428117
253,14.9327574443755
254,14.1563748971896
255,13.3038251703812
256,12.3852506492164
257,11.4137468794684
258,10.4049071147624
259,9.37618312071235
260,8.3460930841753
261,7.33332624266378
262,6.35580837910375
263,5.42980157800089
264,4.56911266557657
265,3.78497715254709
266,3.09229981712801
267,2.50158899268292
268,2.01199486342093
269,1.61538052832831
270,1.29993130572274
271,1.05274712295089
272,0.86148226699258
273,0.71523335320399
274,0.604907304490525
275,0.523275102840627
276,0.464870518637726
277,0.425848522509399
278,0.403887127493233
279,0.398205378015642
280,0.40978588272874
281,0.441946951532113
282,0.501541747724995
283,0.601351434084843
284,0.764882007362877
285,1.03625320993649
286,1.50142347086303
287,2.3359680503141
288,3.91847878467611
289,7.11236231943244
290,13.9218709543919
291,29.1331585420151
292,64.6015456014851
293,150.460584073556
294,364.82635736678
295,912.83530760332
296,2336.14902092785
297,6061.35437827341
298,15803.7066635677
299,41041.9063997667
300,105228.772251815
301,264021.335300037
302,642540.070134176
303,1503409.23243123
304,3352193.99403007
305,7060169.68302773
306,13921765.9885004
307,25475683.5360863
308,42881386.3463463
309,65808558.2721354
310,91269496.0400358
311,113385567.032642
312,125065602.152108
313,121504204.667472
314,104224273.545845
315,79684465.3364662
316,54823393.5518117
317,34269351.1484633
318,19649604.4898293
319,10434459.5262041
320,5181011.6448814
321,2428554.70704609
322,1085001.09509861
323,466467.804233926
324,194842.024441866
325,79831.318794888
326,32393.2061670517
327,13142.7055100861
328,5383.02104796643
329,2247.18117791833
330,965.341680033451
331,430.839224612792
332,201.697665252573
333,99.999588748431
334,53.0111851506451
335,30.3367477024093
336,18.9218232568009
337,12.9752878295806
338,9.7756383772461
339,8.04211052980605
340,7.17932305917862
341,6.91157889851727
342,7.13087994395516
343,7.83561026498767
344,9.11293225316534
345,11.1478428091055
346,14.2548508123792
347,18.9350051828407
348,25.965151335519
349,36.5284068985727
350,52.3934281586541
351,76.1414031618558
352,111.417825514602
