species.lInf.sp0,hqd,hqd,log
species.maturity.size.sp0,hqd,hqd,logit
species.length2weight.condition.factor.sp0,hqd,hqd,log
parameter,hierarchy,value,scale
predation.accessibility.redMullet.stage0.prey.sp0.stage0,gs,0,logit
predation.accessibility.redMullet.stage0.prey.sp0.stage1,gs,0.4,logit
predation.accessibility.redMullet.stage0.prey.sp1.stage0,gs,0.8,logit
predation.accessibility.redMullet.stage0.prey.sp1.stage1,gs,0,logit
predation.accessibility.redMullet.stage0.prey.sp2.stage0,gs,0.8,logit
predation.accessibility.redMullet.stage0.prey.sp2.stage1,gs,0.4,logit
predation.accessibility.redMullet.stage0.prey.sp3.stage0,gs,0.8,logit
predation.accessibility.redMullet.stage0.prey.sp3.stage1,gs,0.4,logit
predation.accessibility.redMullet.stage0.prey.sp4.stage0,gs,0.8,logit
predation.accessibility.redMullet.stage0.prey.sp4.stage1,gs,0.4,logit
predation.accessibility.redMullet.stage0.prey.sp5.stage0,gs,0.8,logit
predation.accessibility.redMullet.stage0.prey.sp5.stage1,gs,0.4,logit
predation.accessibility.redMullet.stage0.prey.sp6.stage0,gs,0.8,logit
predation.accessibility.redMullet.stage0.prey.sp6.stage1,gs,0,logit
predation.accessibility.redMullet.stage0.prey.sp7.stage0,gs,0.8,logit
predation.accessibility.redMullet.stage0.prey.sp7.stage1,gs,0,logit
predation.accessibility.redMullet.stage0.prey.sp8.stage0,gs,0.8,logit
predation.accessibility.redMullet.stage0.prey.sp8.stage1,gs,0,logit
predation.accessibility.redMullet.stage0.prey.sp9.stage0,gs,0.8,logit
predation.accessibility.redMullet.stage0.prey.sp10.stage0,gs,0.8,logit
predation.accessibility.redMullet.stage0.prey.sp11.stage0,gs,0.8,logit
predation.accessibility.redMullet.stage0.prey.sp11.stage1,gs,0.8,logit
predation.accessibility.redMullet.stage0.prey.sp12.stage0,gs,0.8,logit
predation.accessibility.redMullet.stage0.prey.sp12.stage1,gs,0.8,logit
predation.accessibility.redMullet.stage0.prey.sp13.stage0,gs,0,logit
predation.accessibility.redMullet.stage0.prey.sp13.stage1,gs,0.8,logit
predation.accessibility.redMullet.stage0.prey.sp14.stage0,gs,0,logit
predation.accessibility.redMullet.stage0.prey.sp15.stage0,gs,0,logit
predation.accessibility.redMullet.stage1.prey.sp0.stage0,gs,0.05,logit
predation.accessibility.redMullet.stage1.prey.sp0.stage1,gs,0,logit
predation.accessibility.redMullet.stage1.prey.sp1.stage0,gs,0,logit
predation.accessibility.redMullet.stage1.prey.sp1.stage1,gs,0.8,logit
predation.accessibility.redMullet.stage1.prey.sp2.stage0,gs,0,logit
predation.accessibility.redMullet.stage1.prey.sp2.stage1,gs,0,logit
predation.accessibility.redMullet.stage1.prey.sp3.stage0,gs,0,logit
predation.accessibility.redMullet.stage1.prey.sp3.stage1,gs,0,logit
predation.accessibility.redMullet.stage1.prey.sp4.stage0,gs,0,logit
predation.accessibility.redMullet.stage1.prey.sp4.stage1,gs,0,logit
predation.accessibility.redMullet.stage1.prey.sp5.stage0,gs,0,logit
predation.accessibility.redMullet.stage1.prey.sp5.stage1,gs,0,logit
predation.accessibility.redMullet.stage1.prey.sp6.stage0,gs,0,logit
predation.accessibility.redMullet.stage1.prey.sp6.stage1,gs,0.8,logit
predation.accessibility.redMullet.stage1.prey.sp7.stage0,gs,0,logit
predation.accessibility.redMullet.stage1.prey.sp7.stage1,gs,0.8,logit
predation.accessibility.redMullet.stage1.prey.sp8.stage0,gs,0,logit
predation.accessibility.redMullet.stage1.prey.sp8.stage1,gs,0.8,logit
predation.accessibility.redMullet.stage1.prey.sp9.stage0,gs,0,logit
predation.accessibility.redMullet.stage1.prey.sp10.stage0,gs,0,logit
predation.accessibility.redMullet.stage1.prey.sp11.stage0,gs,0,logit
predation.accessibility.redMullet.stage1.prey.sp11.stage1,gs,0,logit
predation.accessibility.redMullet.stage1.prey.sp12.stage0,gs,0,logit
predation.accessibility.redMullet.stage1.prey.sp12.stage1,gs,0,logit
predation.accessibility.redMullet.stage1.prey.sp13.stage0,gs,0.05,logit
predation.accessibility.redMullet.stage1.prey.sp13.stage1,gs,0,logit
predation.accessibility.redMullet.stage1.prey.sp14.stage0,gs,0.8,logit
predation.accessibility.redMullet.stage1.prey.sp15.stage0,gs,0.8,logit
predation.predPrey.sizeRatio.theta.sp1.stage0,gs,gs,logit
predation.predPrey.sizeRatio.theta.sp1.stage0,gs,gs,logit
mortality.starvation.rate.max.sp1,gs,gs,log
species.vonbertalanffy.threshold.age.sp1,gs,gs,logit
species.egg.size.sp1,er,er,log
predation.efficiency.critical.sp1,er,er,logit
predation.ingestion.rate.max.sp1,er,er,log
mortality.natural.rate.sp1,mc,mc,log
mortality.natural.larva.rate.Lx.sp1,mc,mc,log
species.sexratio.sp1,hqd,hqd,logit
species.l0.sp1,hqd,hqd,logit
species.K.sp1,hqd,hqd,log
species.lInf.sp1,hqd,hqd,log
species.maturity.size.sp1,hqd,hqd,logit
species.length2weight.condition.factor.sp1,hqd,hqd,log
parameter,hierarchy,value,scale
predation.accessibility.pouting.stage0.prey.sp0.stage0,gs,0,logit
predation.accessibility.pouting.stage0.prey.sp0.stage1,gs,0.4,logit
predation.accessibility.pouting.stage0.prey.sp1.stage0,gs,0.8,logit
predation.accessibility.pouting.stage0.prey.sp1.stage1,gs,0,logit
predation.accessibility.pouting.stage0.prey.sp2.stage0,gs,0.8,logit
predation.accessibility.pouting.stage0.prey.sp2.stage1,gs,0.4,logit
predation.accessibility.pouting.stage0.prey.sp3.stage0,gs,0.8,logit
predation.accessibility.pouting.stage0.prey.sp3.stage1,gs,0.4,logit
predation.accessibility.pouting.stage0.prey.sp4.stage0,gs,0.8,logit
predation.accessibility.pouting.stage0.prey.sp4.stage1,gs,0.4,logit
predation.accessibility.pouting.stage0.prey.sp5.stage0,gs,0.8,logit
predation.accessibility.pouting.stage0.prey.sp5.stage1,gs,0.4,logit
predation.accessibility.pouting.stage0.prey.sp6.stage0,gs,0.8,logit
predation.accessibility.pouting.stage0.prey.sp6.stage1,gs,0,logit
predation.accessibility.pouting.stage0.prey.sp7.stage0,gs,0.8,logit
predation.accessibility.pouting.stage0.prey.sp7.stage1,gs,0,logit
predation.accessibility.pouting.stage0.prey.sp8.stage0,gs,0.8,logit
predation.accessibility.pouting.stage0.prey.sp8.stage1,gs,0,logit
predation.accessibility.pouting.stage0.prey.sp9.stage0,gs,0.8,logit
predation.accessibility.pouting.stage0.prey.sp10.stage0,gs,0.8,logit
predation.accessibility.pouting.stage0.prey.sp11.stage0,gs,0.8,logit
predation.accessibility.pouting.stage0.prey.sp11.stage1,gs,0.8,logit
predation.accessibility.pouting.stage0.prey.sp12.stage0,gs,0.8,logit
predation.accessibility.pouting.stage0.prey.sp12.stage1,gs,0.8,logit
predation.accessibility.pouting.stage0.prey.sp13.stage0,gs,0,logit
predation.accessibility.pouting.stage0.prey.sp13.stage1,gs,0.8,logit
predation.accessibility.pouting.stage0.prey.sp14.stage0,gs,0,logit
predation.accessibility.pouting.stage0.prey.sp15.stage0,gs,0,logit
predation.accessibility.pouting.stage1.prey.sp0.stage0,gs,0,logit
predation.accessibility.pouting.stage1.prey.sp0.stage1,gs,0.8,logit
predation.accessibility.pouting.stage1.prey.sp1.stage0,gs,0.4,logit
predation.accessibility.pouting.stage1.prey.sp1.stage1,gs,0.4,logit
predation.accessibility.pouting.stage1.prey.sp2.stage0,gs,0.4,logit
predation.accessibility.pouting.stage1.prey.sp2.stage1,gs,0.8,logit
predation.accessibility.pouting.stage1.prey.sp3.stage0,gs,0.4,logit
predation.accessibility.pouting.stage1.prey.sp3.stage1,gs,0.8,logit
predation.accessibility.pouting.stage1.prey.sp4.stage0,gs,0.4,logit
predation.accessibility.pouting.stage1.prey.sp4.stage1,gs,0.8,logit
predation.accessibility.pouting.stage1.prey.sp5.stage0,gs,0.4,logit
predation.accessibility.pouting.stage1.prey.sp5.stage1,gs,0.8,logit
predation.accessibility.pouting.stage1.prey.sp6.stage0,gs,0.4,logit
predation.accessibility.pouting.stage1.prey.sp6.stage1,gs,0.4,logit
predation.accessibility.pouting.stage1.prey.sp7.stage0,gs,0.4,logit
predation.accessibility.pouting.stage1.prey.sp7.stage1,gs,0.4,logit
predation.accessibility.pouting.stage1.prey.sp8.stage0,gs,0.4,logit
predation.accessibility.pouting.stage1.prey.sp8.stage1,gs,0.4,logit
predation.accessibility.pouting.stage1.prey.sp9.stage0,gs,0.4,logit
predation.accessibility.pouting.stage1.prey.sp10.stage0,gs,0.4,logit
predation.accessibility.pouting.stage1.prey.sp11.stage0,gs,0.4,logit
predation.accessibility.pouting.stage1.prey.sp11.stage1,gs,0.4,logit
predation.accessibility.pouting.stage1.prey.sp12.stage0,gs,0.4,logit
predation.accessibility.pouting.stage1.prey.sp12.stage1,gs,0.4,logit
predation.accessibility.pouting.stage1.prey.sp13.stage0,gs,0,logit
predation.accessibility.pouting.stage1.prey.sp13.stage1,gs,0.4,logit
predation.accessibility.pouting.stage1.prey.sp14.stage0,gs,0.8,logit
predation.accessibility.pouting.stage1.prey.sp15.stage0,gs,0,logit
predation.predPrey.sizeRatio.theta.sp2.stage0,gs,gs,logit
predation.predPrey.sizeRatio.theta.sp2.stage0,gs,gs,logit
mortality.starvation.rate.max.sp2,gs,gs,log
species.vonbertalanffy.threshold.age.sp2,gs,gs,logit
species.egg.size.sp2,er,er,log
predation.efficiency.critical.sp2,er,er,logit
predation.ingestion.rate.max.sp2,er,er,log
mortality.natural.rate.sp2,mc,mc,log
mortality.natural.larva.rate.Lx.sp2,mc,mc,log
species.sexratio.sp2,hqd,hqd,logit
species.l0.sp2,hqd,hqd,logit
species.K.sp2,hqd,hqd,log
species.lInf.sp2,hqd,hqd,log
species.maturity.size.sp2,hqd,hqd,logit
species.length2weight.condition.factor.sp2,hqd,hqd,log
parameter,hierarchy,value,scale
