predation.accessibility.cod.stage1.prey.sp4.stage1,gs,0.8,logit
predation.accessibility.cod.stage1.prey.sp5.stage0,gs,0.4,logit
predation.accessibility.cod.stage1.prey.sp5.stage1,gs,0.8,logit
predation.accessibility.cod.stage1.prey.sp6.stage0,gs,0.4,logit
predation.accessibility.cod.stage1.prey.sp6.stage1,gs,0.4,logit
predation.accessibility.cod.stage1.prey.sp7.stage0,gs,0.4,logit
predation.accessibility.cod.stage1.prey.sp7.stage1,gs,0.4,logit
predation.accessibility.cod.stage1.prey.sp8.stage0,gs,0.4,logit
predation.accessibility.cod.stage1.prey.sp8.stage1,gs,0.4,logit
predation.accessibility.cod.stage1.prey.sp9.stage0,gs,0.4,logit
predation.accessibility.cod.stage1.prey.sp10.stage0,gs,0.4,logit
predation.accessibility.cod.stage1.prey.sp11.stage0,gs,0.4,logit
predation.accessibility.cod.stage1.prey.sp11.stage1,gs,0.4,logit
predation.accessibility.cod.stage1.prey.sp12.stage0,gs,0.4,logit
predation.accessibility.cod.stage1.prey.sp12.stage1,gs,0.4,logit
predation.accessibility.cod.stage1.prey.sp13.stage0,gs,0,logit
predation.accessibility.cod.stage1.prey.sp13.stage1,gs,0.4,logit
predation.accessibility.cod.stage1.prey.sp14.stage0,gs,0.8,logit
predation.accessibility.cod.stage1.prey.sp15.stage0,gs,0,logit
predation.predPrey.sizeRatio.theta.sp5.stage0,gs,gs,logit
predation.predPrey.sizeRatio.theta.sp5.stage0,gs,gs,logit
mortality.starvation.rate.max.sp5,gs,gs,log
species.vonbertalanffy.threshold.age.sp5,gs,gs,logit
species.egg.size.sp5,er,er,log
predation.efficiency.critical.sp5,er,er,logit
predation.ingestion.rate.max.sp5,er,er,log
mortality.natural.rate.sp5,mc,mc,log
mortality.natural.larva.rate.Lx.sp5,mc,mc,log
species.sexratio.sp5,hqd,hqd,logit
species.l0.sp5,hqd,hqd,logit
species.K.sp5,hqd,hqd,log
species.lInf.sp5,hqd,hqd,log
species.maturity.size.sp5,hqd,hqd,logit
species.length2weight.condition.factor.sp5,hqd,hqd,log
parameter,hierarchy,value,scale
predation.accessibility.dragonet.stage0.prey.sp0.stage0,gs,0,logit
predation.accessibility.dragonet.stage0.prey.sp0.stage1,gs,0.4,logit
predation.accessibility.dragonet.stage0.prey.sp1.stage0,gs,0.8,logit
predation.accessibility.dragonet.stage0.prey.sp1.stage1,gs,0,logit
predation.accessibility.dragonet.stage0.prey.sp2.stage0,gs,0.8,logit
predation.accessibility.dragonet.stage0.prey.sp2.stage1,gs,0.4,logit
predation.accessibility.dragonet.stage0.prey.sp3.stage0,gs,0.8,logit
predation.accessibility.dragonet.stage0.prey.sp3.stage1,gs,0.4,logit
predation.accessibility.dragonet.stage0.prey.sp4.stage0,gs,0.8,logit
predation.accessibility.dragonet.stage0.prey.sp4.stage1,gs,0.4,logit
predation.accessibility.dragonet.stage0.prey.sp5.stage0,gs,0.8,logit
predation.accessibility.dragonet.stage0.prey.sp5.stage1,gs,0.4,logit
predation.accessibility.dragonet.stage0.prey.sp6.stage0,gs,0.8,logit
predation.accessibility.dragonet.stage0.prey.sp6.stage1,gs,0,logit
predation.accessibility.dragonet.stage0.prey.sp7.stage0,gs,0.8,logit
predation.accessibility.dragonet.stage0.prey.sp7.stage1,gs,0,logit
predation.accessibility.dragonet.stage0.prey.sp8.stage0,gs,0.8,logit
predation.accessibility.dragonet.stage0.prey.sp8.stage1,gs,0,logit
predation.accessibility.dragonet.stage0.prey.sp9.stage0,gs,0.8,logit
predation.accessibility.dragonet.stage0.prey.sp10.stage0,gs,0.8,logit
predation.accessibility.dragonet.stage0.prey.sp11.stage0,gs,0.8,logit
predation.accessibility.dragonet.stage0.prey.sp11.stage1,gs,0.8,logit
predation.accessibility.dragonet.stage0.prey.sp12.stage0,gs,0.8,logit
predation.accessibility.dragonet.stage0.prey.sp12.stage1,gs,0.8,logit
predation.accessibility.dragonet.stage0.prey.sp13.stage0,gs,0,logit
predation.accessibility.dragonet.stage0.prey.sp13.stage1,gs,0.8,logit
predation.accessibility.dragonet.stage0.prey.sp14.stage0,gs,0,logit
predation.accessibility.dragonet.stage0.prey.sp15.stage0,gs,0,logit
predation.accessibility.dragonet.stage1.prey.sp0.stage0,gs,0.05,logit
predation.accessibility.dragonet.stage1.prey.sp0.stage1,gs,0,logit
predation.accessibility.dragonet.stage1.prey.sp1.stage0,gs,0,logit
predation.accessibility.dragonet.stage1.prey.sp1.stage1,gs,0.8,logit
predation.accessibility.dragonet.stage1.prey.sp2.stage0,gs,0,logit
predation.accessibility.dragonet.stage1.prey.sp2.stage1,gs,0,logit
predation.accessibility.dragonet.stage1.prey.sp3.stage0,gs,0,logit
predation.accessibility.dragonet.stage1.prey.sp3.stage1,gs,0,logit
predation.accessibility.dragonet.stage1.prey.sp4.stage0,gs,0,logit
predation.accessibility.dragonet.stage1.prey.sp4.stage1,gs,0,logit
predation.accessibility.dragonet.stage1.prey.sp5.stage0,gs,0,logit
predation.accessibility.dragonet.stage1.prey.sp5.stage1,gs,0,logit
predation.accessibility.dragonet.stage1.prey.sp6.stage0,gs,0,logit
predation.accessibility.dragonet.stage1.prey.sp6.stage1,gs,0.8,logit
predation.accessibility.dragonet.stage1.prey.sp7.stage0,gs,0,logit
predation.accessibility.dragonet.stage1.prey.sp7.stage1,gs,0.8,logit
predation.accessibility.dragonet.stage1.prey.sp8.stage0,gs,0,logit
predation.accessibility.dragonet.stage1.prey.sp8.stage1,gs,0.8,logit
predation.accessibility.dragonet.stage1.prey.sp9.stage0,gs,0,logit
predation.accessibility.dragonet.stage1.prey.sp10.stage0,gs,0,logit
predation.accessibility.dragonet.stage1.prey.sp11.stage0,gs,0,logit
predation.accessibility.dragonet.stage1.prey.sp11.stage1,gs,0,logit
predation.accessibility.dragonet.stage1.prey.sp12.stage0,gs,0,logit
predation.accessibility.dragonet.stage1.prey.sp12.stage1,gs,0,logit
predation.accessibility.dragonet.stage1.prey.sp13.stage0,gs,0.05,logit
predation.accessibility.dragonet.stage1.prey.sp13.stage1,gs,0,logit
predation.accessibility.dragonet.stage1.prey.sp14.stage0,gs,0.8,logit
predation.accessibility.dragonet.stage1.prey.sp15.stage0,gs,0,logit
predation.predPrey.sizeRatio.theta.sp6.stage0,gs,gs,logit
predation.predPrey.sizeRatio.theta.sp6.stage0,gs,gs,logit
mortality.starvation.rate.max.sp6,gs,gs,log
species.vonbertalanffy.threshold.age.sp6,gs,gs,logit
species.egg.size.sp6,er,er,log
predation.efficiency.critical.sp6,er,er,logit
predation.ingestion.rate.max.sp6,er,er,log
mortality.natural.rate.sp6,mc,mc,log
mortality.natural.larva.rate.Lx.sp6,mc,mc,log
species.sexratio.sp6,hqd,hqd,logit
species.l0.sp6,hqd,hqd,logit
species.K.sp6,hqd,hqd,log
species.lInf.sp6,hqd,hqd,log
species.maturity.size.sp6,hqd,hqd,logit
species.length2weight.condition.factor.sp6,hqd,hqd,log
parameter,hierarchy,value,scale
predation.accessibility.sole.stage0.prey.sp0.stage0,gs,0,logit
predation.accessibility.sole.stage0.prey.sp0.stage1,gs,0.4,logit
predation.accessibility.sole.stage0.prey.sp1.stage0,gs,0.8,logit
predation.accessibility.sole.stage0.prey.sp1.stage1,gs,0,logit
predation.accessibility.sole.stage0.prey.sp2.stage0,gs,0.8,logit
predation.accessibility.sole.stage0.prey.sp2.stage1,gs,0.4,logit
predation.accessibility.sole.stage0.prey.sp3.stage0,gs,0.8,logit
predation.accessibility.sole.stage0.prey.sp3.stage1,gs,0.4,logit
predation.accessibility.sole.stage0.prey.sp4.stage0,gs,0.8,logit
predation.accessibility.sole.stage0.prey.sp4.stage1,gs,0.4,logit
predation.accessibility.sole.stage0.prey.sp5.stage0,gs,0.8,logit
predation.accessibility.sole.stage0.prey.sp5.stage1,gs,0.4,logit
predation.accessibility.sole.stage0.prey.sp6.stage0,gs,0.8,logit
predation.accessibility.sole.stage0.prey.sp6.stage1,gs,0,logit
predation.accessibility.sole.stage0.prey.sp7.stage0,gs,0.8,logit
predation.accessibility.sole.stage0.prey.sp7.stage1,gs,0,logit
predation.accessibility.sole.stage0.prey.sp8.stage0,gs,0.8,logit
predation.accessibility.sole.stage0.prey.sp8.stage1,gs,0,logit
predation.accessibility.sole.stage0.prey.sp9.stage0,gs,0.8,logit
predation.accessibility.sole.stage0.prey.sp10.stage0,gs,0.8,logit
predation.accessibility.sole.stage0.prey.sp11.stage0,gs,0.8,logit
predation.accessibility.sole.stage0.prey.sp11.stage1,gs,0.8,logit
predation.accessibility.sole.stage0.prey.sp12.stage0,gs,0.8,logit
predation.accessibility.sole.stage0.prey.sp12.stage1,gs,0.8,logit
predation.accessibility.sole.stage0.prey.sp13.stage0,gs,0,logit
predation.accessibility.sole.stage0.prey.sp13.stage1,gs,0.8,logit
predation.accessibility.sole.stage0.prey.sp14.stage0,gs,0,logit
predation.accessibility.sole.stage0.prey.sp15.stage0,gs,0,logit
predation.accessibility.sole.stage1.prey.sp0.stage0,gs,0.05,logit
predation.accessibility.sole.stage1.prey.sp0.stage1,gs,0,logit
predation.accessibility.sole.stage1.prey.sp1.stage0,gs,0,logit
predation.accessibility.sole.stage1.prey.sp1.stage1,gs,0.8,logit
predation.accessibility.sole.stage1.prey.sp2.stage0,gs,0,logit
predation.accessibility.sole.stage1.prey.sp2.stage1,gs,0,logit
predation.accessibility.sole.stage1.prey.sp3.stage0,gs,0,logit
predation.accessibility.sole.stage1.prey.sp3.stage1,gs,0,logit
predation.accessibility.sole.stage1.prey.sp4.stage0,gs,0,logit
predation.accessibility.sole.stage1.prey.sp4.stage1,gs,0,logit
predation.accessibility.sole.stage1.prey.sp5.stage0,gs,0,logit
predation.accessibility.sole.stage1.prey.sp5.stage1,gs,0,logit
predation.accessibility.sole.stage1.prey.sp6.stage0,gs,0,logit
predation.accessibility.sole.stage1.prey.sp6.stage1,gs,0.8,logit
predation.accessibility.sole.stage1.prey.sp7.stage0,gs,0,logit
predation.accessibility.sole.stage1.prey.sp7.stage1,gs,0.8,logit
predation.accessibility.sole.stage1.prey.sp8.stage0,gs,0,logit
predation.accessibility.sole.stage1.prey.sp8.stage1,gs,0.8,logit
predation.accessibility.sole.stage1.prey.sp9.stage0,gs,0,logit
predation.accessibility.sole.stage1.prey.sp10.stage0,gs,0,logit
predation.accessibility.sole.stage1.prey.sp11.stage0,gs,0,logit
predation.accessibility.sole.stage1.prey.sp11.stage1,gs,0,logit
predation.accessibility.sole.stage1.prey.sp12.stage0,gs,0,logit
predation.accessibility.sole.stage1.prey.sp12.stage1,gs,0,logit
predation.accessibility.sole.stage1.prey.sp13.stage0,gs,0.05,logit
predation.accessibility.sole.stage1.prey.sp13.stage1,gs,0,logit
predation.accessibility.sole.stage1.prey.sp14.stage0,gs,0.8,logit
predation.accessibility.sole.stage1.prey.sp15.stage0,gs,0.8,logit
predation.predPrey.sizeRatio.theta.sp7.stage0,gs,gs,logit
predation.predPrey.sizeRatio.theta.sp7.stage0,gs,gs,logit
mortality.starvation.rate.max.sp7,gs,gs,log
species.vonbertalanffy.threshold.age.sp7,gs,gs,logit
species.egg.size.sp7,er,er,log
predation.efficiency.critical.sp7,er,er,logit
predation.ingestion.rate.max.sp7,er,er,log
mortality.natural.rate.sp7,mc,mc,log
mortality.natural.larva.rate.Lx.sp7,mc,mc,log
species.sexratio.sp7,hqd,hqd,logit
species.l0.sp7,hqd,hqd,logit
species.K.sp7,hqd,hqd,log
species.lInf.sp7,hqd,hqd,log
species.maturity.size.sp7,hqd,hqd,logit
species.length2weight.condition.factor.sp7,hqd,hqd,log
parameter,hierarchy,value,scale
predation.accessibility.plaice.stage0.prey.sp0.stage0,gs,0,logit
predation.accessibility.plaice.stage0.prey.sp0.stage1,gs,0.4,logit
predation.accessibility.plaice.stage0.prey.sp1.stage0,gs,0.8,logit
predation.accessibility.plaice.stage0.prey.sp1.stage1,gs,0,logit
predation.accessibility.plaice.stage0.prey.sp2.stage0,gs,0.8,logit
predation.accessibility.plaice.stage0.prey.sp2.stage1,gs,0.4,logit
predation.accessibility.plaice.stage0.prey.sp3.stage0,gs,0.8,logit
predation.accessibility.plaice.stage0.prey.sp3.stage1,gs,0.4,logit
predation.accessibility.plaice.stage0.prey.sp4.stage0,gs,0.8,logit
predation.accessibility.plaice.stage0.prey.sp4.stage1,gs,0.4,logit
predation.accessibility.plaice.stage0.prey.sp5.stage0,gs,0.8,logit
predation.accessibility.plaice.stage0.prey.sp5.stage1,gs,0.4,logit
predation.accessibility.plaice.stage0.prey.sp6.stage0,gs,0.8,logit
predation.accessibility.plaice.stage0.prey.sp6.stage1,gs,0,logit
predation.accessibility.plaice.stage0.prey.sp7.stage0,gs,0.8,logit
predation.accessibility.plaice.stage0.prey.sp7.stage1,gs,0,logit
predation.accessibility.plaice.stage0.prey.sp8.stage0,gs,0.8,logit
predation.accessibility.plaice.stage0.prey.sp8.stage1,gs,0,logit
predation.accessibility.plaice.stage0.prey.sp9.stage0,gs,0.8,logit
predation.accessibility.plaice.stage0.prey.sp10.stage0,gs,0.8,logit
predation.accessibility.plaice.stage0.prey.sp11.stage0,gs,0.8,logit
predation.accessibility.plaice.stage0.prey.sp11.stage1,gs,0.8,logit
predation.accessibility.plaice.stage0.prey.sp12.stage0,gs,0.8,logit
predation.accessibility.plaice.stage0.prey.sp12.stage1,gs,0.8,logit
predation.accessibility.plaice.stage0.prey.sp13.stage0,gs,0,logit
predation.accessibility.plaice.stage0.prey.sp13.stage1,gs,0.8,logit
predation.accessibility.plaice.stage0.prey.sp14.stage0,gs,0,logit
predation.accessibility.plaice.stage0.prey.sp15.stage0,gs,0,logit
predation.accessibility.plaice.stage1.prey.sp0.stage0,gs,0.05,logit
predation.accessibility.plaice.stage1.prey.sp0.stage1,gs,0,logit
predation.accessibility.plaice.stage1.prey.sp1.stage0,gs,0,logit
predation.accessibility.plaice.stage1.prey.sp1.stage1,gs,0.8,logit
predation.accessibility.plaice.stage1.prey.sp2.stage0,gs,0,logit
predation.accessibility.plaice.stage1.prey.sp2.stage1,gs,0,logit
predation.accessibility.plaice.stage1.prey.sp3.stage0,gs,0,logit
predation.accessibility.plaice.stage1.prey.sp3.stage1,gs,0,logit
predation.accessibility.plaice.stage1.prey.sp4.stage0,gs,0,logit
predation.accessibility.plaice.stage1.prey.sp4.stage1,gs,0,logit
predation.accessibility.plaice.stage1.prey.sp5.stage0,gs,0,logit
predation.accessibility.plaice.stage1.prey.sp5.stage1,gs,0,logit
predation.accessibility.plaice.stage1.prey.sp6.stage0,gs,0,logit
predation.accessibility.plaice.stage1.prey.sp6.stage1,gs,0.8,logit
predation.accessibility.plaice.stage1.prey.sp7.stage0,gs,0,logit
predation.accessibility.plaice.stage1.prey.sp7.stage1,gs,0.8,logit
predation.accessibility.plaice.stage1.prey.sp8.stage0,gs,0,logit
predation.accessibility.plaice.stage1.prey.sp8.stage1,gs,0.8,logit
predation.accessibility.plaice.stage1.prey.sp9.stage0,gs,0,logit
predation.accessibility.plaice.stage1.prey.sp10.stage0,gs,0,logit
predation.accessibility.plaice.stage1.prey.sp11.stage0,gs,0,logit
predation.accessibility.plaice.stage1.prey.sp11.stage1,gs,0,logit
predation.accessibility.plaice.stage1.prey.sp12.stage0,gs,0,logit
predation.accessibility.plaice.stage1.prey.sp12.stage1,gs,0,logit
predation.accessibility.plaice.stage1.prey.sp13.stage0,gs,0.05,logit
predation.accessibility.plaice.stage1.prey.sp13.stage1,gs,0,logit
predation.accessibility.plaice.stage1.prey.sp14.stage0,gs,0.8,logit
predation.accessibility.plaice.stage1.prey.sp15.stage0,gs,0.8,logit
predation.predPrey.sizeRatio.theta.sp8.stage0,gs,gs,logit
predation.predPrey.sizeRatio.theta.sp8.stage0,gs,gs,logit
mortality.starvation.rate.max.sp8,gs,gs,log
species.vonbertalanffy.threshold.age.sp8,gs,gs,logit
species.egg.size.sp8,er,er,log
predation.efficiency.critical.sp8,er,er,logit
predation.ingestion.rate.max.sp8,er,er,log
mortality.natural.rate.sp8,mc,mc,log
mortality.natural.larva.rate.Lx.sp8,mc,mc,log
species.sexratio.sp8,hqd,hqd,logit
species.l0.sp8,hqd,hqd,logit
species.K.sp8,hqd,hqd,log
species.lInf.sp8,hqd,hqd,log
species.maturity.size.sp8,hqd,hqd,logit
species.length2weight.condition.factor.sp8,hqd,hqd,log
parameter,hierarchy,value,scale
predation.accessibility.horseMackerel.stage0.prey.sp0.stage0,gs,0,logit
predation.accessibility.horseMackerel.stage0.prey.sp0.stage1,gs,0.4,logit
predation.accessibility.horseMackerel.stage0.prey.sp1.stage0,gs,0.8,logit
predation.accessibility.horseMackerel.stage0.prey.sp1.stage1,gs,0,logit
predation.accessibility.horseMackerel.stage0.prey.sp2.stage0,gs,0.8,logit
predation.accessibility.horseMackerel.stage0.prey.sp2.stage1,gs,0.4,logit
predation.accessibility.horseMackerel.stage0.prey.sp3.stage0,gs,0.8,logit
predation.accessibility.horseMackerel.stage0.prey.sp3.stage1,gs,0.4,logit
predation.accessibility.horseMackerel.stage0.prey.sp4.stage0,gs,0.8,logit
predation.accessibility.horseMackerel.stage0.prey.sp4.stage1,gs,0.4,logit
predation.accessibility.horseMackerel.stage0.prey.sp5.stage0,gs,0.8,logit
predation.accessibility.horseMackerel.stage0.prey.sp5.stage1,gs,0.4,logit
predation.accessibility.horseMackerel.stage0.prey.sp6.stage0,gs,0.8,logit
predation.accessibility.horseMackerel.stage0.prey.sp6.stage1,gs,0,logit
predation.accessibility.horseMackerel.stage0.prey.sp7.stage0,gs,0.8,logit
predation.accessibility.horseMackerel.stage0.prey.sp7.stage1,gs,0,logit
predation.accessibility.horseMackerel.stage0.prey.sp8.stage0,gs,0.8,logit
predation.accessibility.horseMackerel.stage0.prey.sp8.stage1,gs,0,logit
predation.accessibility.horseMackerel.stage0.prey.sp9.stage0,gs,0.8,logit
predation.accessibility.horseMackerel.stage0.prey.sp10.stage0,gs,0.8,logit
predation.accessibility.horseMackerel.stage0.prey.sp11.stage0,gs,0.8,logit
predation.accessibility.horseMackerel.stage0.prey.sp11.stage1,gs,0.8,logit
predation.accessibility.horseMackerel.stage0.prey.sp12.stage0,gs,0.8,logit
predation.accessibility.horseMackerel.stage0.prey.sp12.stage1,gs,0.8,logit
predation.accessibility.horseMackerel.stage0.prey.sp13.stage0,gs,0,logit
predation.accessibility.horseMackerel.stage0.prey.sp13.stage1,gs,0.8,logit
predation.accessibility.horseMackerel.stage0.prey.sp14.stage0,gs,0,logit
predation.accessibility.horseMackerel.stage0.prey.sp15.stage0,gs,0,logit
predation.predPrey.sizeRatio.theta.sp9.stage0,gs,gs,logit
predation.predPrey.sizeRatio.theta.sp9.stage0,gs,gs,logit
mortality.starvation.rate.max.sp9,gs,gs,log
species.vonbertalanffy.threshold.age.sp9,gs,gs,logit
species.egg.size.sp9,er,er,log
predation.efficiency.critical.sp9,er,er,logit
predation.ingestion.rate.max.sp9,er,er,log
mortality.natural.rate.sp9,mc,mc,log
mortality.natural.larva.rate.Lx.sp9,mc,mc,log
species.sexratio.sp9,hqd,hqd,logit
species.l0.sp9,hqd,hqd,logit
species.K.sp9,hqd,hqd,log
species.lInf.sp9,hqd,hqd,log
species.maturity.size.sp9,hqd,hqd,logit
species.length2weight.condition.factor.sp9,hqd,hqd,log
parameter,hierarchy,value,scale
predation.accessibility.mackerel.stage0.prey.sp0.stage0,gs,0,logit
predation.accessibility.mackerel.stage0.prey.sp0.stage1,gs,0.4,logit
predation.accessibility.mackerel.stage0.prey.sp1.stage0,gs,0.8,logit
predation.accessibility.mackerel.stage0.prey.sp1.stage1,gs,0,logit
predation.accessibility.mackerel.stage0.prey.sp2.stage0,gs,0.8,logit
predation.accessibility.mackerel.stage0.prey.sp2.stage1,gs,0.4,logit
predation.accessibility.mackerel.stage0.prey.sp3.stage0,gs,0.8,logit
predation.accessibility.mackerel.stage0.prey.sp3.stage1,gs,0.4,logit
predation.accessibility.mackerel.stage0.prey.sp4.stage0,gs,0.8,logit
predation.accessibility.mackerel.stage0.prey.sp4.stage1,gs,0.4,logit
predation.accessibility.mackerel.stage0.prey.sp5.stage0,gs,0.8,logit
predation.accessibility.mackerel.stage0.prey.sp5.stage1,gs,0.4,logit
predation.accessibility.mackerel.stage0.prey.sp6.stage0,gs,0.8,logit
predation.accessibility.mackerel.stage0.prey.sp6.stage1,gs,0,logit
predation.accessibility.mackerel.stage0.prey.sp7.stage0,gs,0.8,logit
predation.accessibility.mackerel.stage0.prey.sp7.stage1,gs,0,logit
predation.accessibility.mackerel.stage0.prey.sp8.stage0,gs,0.8,logit
predation.accessibility.mackerel.stage0.prey.sp8.stage1,gs,0,logit
predation.accessibility.mackerel.stage0.prey.sp9.stage0,gs,0.8,logit
predation.accessibility.mackerel.stage0.prey.sp10.stage0,gs,0.8,logit
predation.accessibility.mackerel.stage0.prey.sp11.stage0,gs,0.8,logit
predation.accessibility.mackerel.stage0.prey.sp11.stage1,gs,0.8,logit
predation.accessibility.mackerel.stage0.prey.sp12.stage0,gs,0.8,logit
predation.accessibility.mackerel.stage0.prey.sp12.stage1,gs,0.8,logit
predation.accessibility.mackerel.stage0.prey.sp13.stage0,gs,0,logit
predation.accessibility.mackerel.stage0.prey.sp13.stage1,gs,0.8,logit
predation.accessibility.mackerel.stage0.prey.sp14.stage0,gs,0,logit
predation.accessibility.mackerel.stage0.prey.sp15.stage0,gs,0,logit
predation.predPrey.sizeRatio.theta.sp10.stage0,gs,gs,logit
predation.predPrey.sizeRatio.theta.sp10.stage0,gs,gs,logit
mortality.starvation.rate.max.sp10,gs,gs,log
species.vonbertalanffy.threshold.age.sp10,gs,gs,logit
species.egg.size.sp10,er,er,log
predation.efficiency.critical.sp10,er,er,logit
predation.ingestion.rate.max.sp10,er,er,log
mortality.natural.rate.sp10,mc,mc,log
mortality.natural.larva.rate.Lx.sp10,mc,mc,log
species.sexratio.sp10,hqd,hqd,logit
species.l0.sp10,hqd,hqd,logit
species.K.sp10,hqd,hqd,log
species.lInf.sp10,hqd,hqd,log
species.maturity.size.sp10,hqd,hqd,logit
species.length2weight.condition.factor.sp10,hqd,hqd,log
parameter,hierarchy,value,scale
predation.accessibility.herring.stage0.prey.sp0.stage0,gs,0,logit
predation.accessibility.herring.stage0.prey.sp0.stage1,gs,0.4,logit
predation.accessibility.herring.stage0.prey.sp1.stage0,gs,0.8,logit
predation.accessibility.herring.stage0.prey.sp1.stage1,gs,0,logit
predation.accessibility.herring.stage0.prey.sp2.stage0,gs,0.8,logit
predation.accessibility.herring.stage0.prey.sp2.stage1,gs,0.4,logit
predation.accessibility.herring.stage0.prey.sp3.stage0,gs,0.8,logit
predation.accessibility.herring.stage0.prey.sp3.stage1,gs,0.4,logit
predation.accessibility.herring.stage0.prey.sp4.stage0,gs,0.8,logit
predation.accessibility.herring.stage0.prey.sp4.stage1,gs,0.4,logit
predation.accessibility.herring.stage0.prey.sp5.stage0,gs,0.8,logit
predation.accessibility.herring.stage0.prey.sp5.stage1,gs,0.4,logit
predation.accessibility.herring.stage0.prey.sp6.stage0,gs,0.8,logit
predation.accessibility.herring.stage0.prey.sp6.stage1,gs,0,logit
predation.accessibility.herring.stage0.prey.sp7.stage0,gs,0.8,logit
predation.accessibility.herring.stage0.prey.sp7.stage1,gs,0,logit
predation.accessibility.herring.stage0.prey.sp8.stage0,gs,0.8,logit
predation.accessibility.herring.stage0.prey.sp8.stage1,gs,0,logit
predation.accessibility.herring.stage0.prey.sp9.stage0,gs,0.8,logit
predation.accessibility.herring.stage0.prey.sp10.stage0,gs,0.8,logit
predation.accessibility.herring.stage0.prey.sp11.stage0,gs,0.8,logit
predation.accessibility.herring.stage0.prey.sp11.stage1,gs,0.8,logit
predation.accessibility.herring.stage0.prey.sp12.stage0,gs,0.8,logit
predation.accessibility.herring.stage0.prey.sp12.stage1,gs,0.8,logit
predation.accessibility.herring.stage0.prey.sp13.stage0,gs,0,logit
predation.accessibility.herring.stage0.prey.sp13.stage1,gs,0.8,logit
predation.accessibility.herring.stage0.prey.sp14.stage0,gs,0,logit
predation.accessibility.herring.stage0.prey.sp15.stage0,gs,0,logit
predation.accessibility.herring.stage1.prey.sp0.stage0,gs,0,logit
predation.accessibility.herring.stage1.prey.sp0.stage1,gs,0.4,logit
predation.accessibility.herring.stage1.prey.sp1.stage0,gs,0.8,logit
predation.accessibility.herring.stage1.prey.sp1.stage1,gs,0,logit
predation.accessibility.herring.stage1.prey.sp2.stage0,gs,0.8,logit
predation.accessibility.herring.stage1.prey.sp2.stage1,gs,0.4,logit
predation.accessibility.herring.stage1.prey.sp3.stage0,gs,0.8,logit
predation.accessibility.herring.stage1.prey.sp3.stage1,gs,0.4,logit
predation.accessibility.herring.stage1.prey.sp4.stage0,gs,0.8,logit
predation.accessibility.herring.stage1.prey.sp4.stage1,gs,0.4,logit
predation.accessibility.herring.stage1.prey.sp5.stage0,gs,0.8,logit
predation.accessibility.herring.stage1.prey.sp5.stage1,gs,0.4,logit
predation.accessibility.herring.stage1.prey.sp6.stage0,gs,0.8,logit
predation.accessibility.herring.stage1.prey.sp6.stage1,gs,0,logit
predation.accessibility.herring.stage1.prey.sp7.stage0,gs,0.8,logit
predation.accessibility.herring.stage1.prey.sp7.stage1,gs,0,logit
predation.accessibility.herring.stage1.prey.sp8.stage0,gs,0.8,logit
predation.accessibility.herring.stage1.prey.sp8.stage1,gs,0,logit
predation.accessibility.herring.stage1.prey.sp9.stage0,gs,0.8,logit
predation.accessibility.herring.stage1.prey.sp10.stage0,gs,0.8,logit
predation.accessibility.herring.stage1.prey.sp11.stage0,gs,0.8,logit
predation.accessibility.herring.stage1.prey.sp11.stage1,gs,0.8,logit
predation.accessibility.herring.stage1.prey.sp12.stage0,gs,0.8,logit
predation.accessibility.herring.stage1.prey.sp12.stage1,gs,0.8,logit
predation.accessibility.herring.stage1.prey.sp13.stage0,gs,0,logit
predation.accessibility.herring.stage1.prey.sp13.stage1,gs,0.8,logit
predation.accessibility.herring.stage1.prey.sp14.stage0,gs,0,logit
predation.accessibility.herring.stage1.prey.sp15.stage0,gs,0,logit
predation.predPrey.sizeRatio.theta.sp11.stage0,gs,gs,logit
predation.predPrey.sizeRatio.theta.sp11.stage0,gs,gs,logit
mortality.starvation.rate.max.sp11,gs,gs,log
species.vonbertalanffy.threshold.age.sp11,gs,gs,logit
species.egg.size.sp11,er,er,log
predation.efficiency.critical.sp11,er,er,logit
predation.ingestion.rate.max.sp11,er,er,log
mortality.natural.rate.sp11,mc,mc,log
mortality.natural.larva.rate.Lx.sp11,mc,mc,log
species.sexratio.sp11,hqd,hqd,logit
species.l0.sp11,hqd,hqd,logit
species.K.sp11,hqd,hqd,log
species.lInf.sp11,hqd,hqd,log
species.maturity.size.sp11,hqd,hqd,logit
species.length2weight.condition.factor.sp11,hqd,hqd,log
parameter,hierarchy,value,scale
predation.accessibility.sardine.stage0.prey.sp0.stage0,gs,0,logit
predation.accessibility.sardine.stage0.prey.sp0.stage1,gs,0.4,logit
predation.accessibility.sardine.stage0.prey.sp1.stage0,gs,0.8,logit
predation.accessibility.sardine.stage0.prey.sp1.stage1,gs,0,logit
predation.accessibility.sardine.stage0.prey.sp2.stage0,gs,0.8,logit
predation.accessibility.sardine.stage0.prey.sp2.stage1,gs,0.4,logit
predation.accessibility.sardine.stage0.prey.sp3.stage0,gs,0.8,logit
predation.accessibility.sardine.stage0.prey.sp3.stage1,gs,0.4,logit
predation.accessibility.sardine.stage0.prey.sp4.stage0,gs,0.8,logit
predation.accessibility.sardine.stage0.prey.sp4.stage1,gs,0.4,logit
predation.accessibility.sardine.stage0.prey.sp5.stage0,gs,0.8,logit
predation.accessibility.sardine.stage0.prey.sp5.stage1,gs,0.4,logit
